Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against
2022-10-14,Daniil Tarasov,home,Columbus Blue Jackets,Tampa Bay Lightning,60.0,5,3.09
2022-10-14,Andrei Vasilevskiy,away,Tampa Bay Lightning,Columbus Blue Jackets,60.0,2,2.44
2022-10-14,Ville Husso,home,Detroit Red Wings,Montreal Canadiens,60.0,0,1.62
2022-10-14,Jake Allen,away,Montreal Canadiens,Detroit Red Wings,58.5333,1,4.02
2022-10-14,Connor Hellebuyck,home,Winnipeg Jets,New York Rangers,60.0,1,4.47
2022-10-14,Jaroslav Halak,away,New York Rangers,Winnipeg Jets,58.9667,3,3.2
2022-10-14,James Reimer,home,San Jose Sharks,Carolina Hurricanes,58.5667,2,3.04
2022-10-14,Antti Raanta,away,Carolina Hurricanes,San Jose Sharks,60.0,1,1.7
2022-10-15,Eric Comrie,home,Buffalo Sabres,Florida Panthers,59.6667,4,4.19
2022-10-15,Spencer Knight,away,Florida Panthers,Buffalo Sabres,60.0,3,2.3
2022-10-15,Carter Hart,home,Philadelphia Flyers,Vancouver Canucks,60.0,2,2.99
2022-10-15,Thatcher Demko,away,Vancouver Canucks,Philadelphia Flyers,57.45,3,2.69
2022-10-15,Jeremy Swayman,home,Boston Bruins,Arizona Coyotes,59.9167,3,2.0
2022-10-15,Karel Vejmelka,away,Arizona Coyotes,Boston Bruins,59.4667,5,4.23
2022-10-15,Vitek Vanecek,home,New Jersey Devils,Detroit Red Wings,60.0,5,2.03
2022-10-15,Alex Nedeljkovic,away,Detroit Red Wings,New Jersey Devils,59.5167,2,4.36
2022-10-15,Darcy Kuemper,home,Washington Capitals,Montreal Canadiens,60.0,1,2.34
2022-10-15,Sam Montembeault,away,Montreal Canadiens,Washington Capitals,58.4167,3,3.88
2022-10-15,Ilya Samsonov,home,Toronto Maple Leafs,Ottawa Senators,60.0,2,2.75
2022-10-15,Anton Forsberg,away,Ottawa Senators,Toronto Maple Leafs,58.4,3,3.38
2022-10-15,Tristan Jarry,home,Pittsburgh Penguins,Tampa Bay Lightning,59.7167,2,2.37
2022-10-15,Brian Elliott,away,Tampa Bay Lightning,Pittsburgh Penguins,59.4333,5,5.41
2022-10-15,Ilya Sorokin,home,New York Islanders,Anaheim Ducks,59.8667,1,3.12
2022-10-15,John Gibson,away,Anaheim Ducks,New York Islanders,40.0,5,2.59
2022-10-15,Anthony Stolarz,away,Anaheim Ducks,New York Islanders,20.0,2,1.04
2022-10-15,Jordan Binnington,home,St Louis Blues,Columbus Blue Jackets,60.0,2,1.9
2022-10-15,Elvis Merzlikins,away,Columbus Blue Jackets,St Louis Blues,60.0,5,2.99
2022-10-15,Marc-Andre Fleury,home,Minnesota Wild,Los Angeles Kings,20.0,4,1.45
2022-10-15,Filip Gustavsson,home,Minnesota Wild,Los Angeles Kings,38.3333,3,1.42
2022-10-15,Cal Petersen,away,Los Angeles Kings,Minnesota Wild,60.0,6,3.07
2022-10-15,Jake Oettinger,home,Dallas Stars,Nashville Predators,60.0,1,3.04
2022-10-15,Juuse Saros,away,Nashville Predators,Dallas Stars,56.9167,4,2.88
2022-10-15,Jack Campbell,home,Edmonton Oilers,Calgary Flames,10.3,4,1.1
2022-10-15,Stuart Skinner,home,Edmonton Oilers,Calgary Flames,48.7333,0,3.64
2022-10-15,Dan Vladar,away,Calgary Flames,Edmonton Oilers,60.0,3,2.89
2022-10-15,Martin Jones,home,Seattle Kraken,Vegas Golden Knights,40.0,5,2.21
2022-10-15,Philipp Grubauer,home,Seattle Kraken,Vegas Golden Knights,20.0,0,0.57
2022-10-15,Adin Hill,away,Vegas Golden Knights,Seattle Kraken,60.0,2,2.37
2022-10-15,Kaapo Kahkonen,home,San Jose Sharks,Chicago Blackhawks,59.6167,5,1.89
2022-10-15,Petr Mrazek,away,Chicago Blackhawks,San Jose Sharks,60.0,2,2.3
2022-10-17,Igor Shesterkin,home,New York Rangers,Anaheim Ducks,60.0,4,2.05
2022-10-17,John Gibson,away,Anaheim Ducks,New York Rangers,40.0,5,2.69
2022-10-17,Anthony Stolarz,away,Anaheim Ducks,New York Rangers,19.1833,1,1.32
2022-10-17,Erik Kallgren,home,Toronto Maple Leafs,Arizona Coyotes,59.1,3,1.76
2022-10-17,Karel Vejmelka,away,Arizona Coyotes,Toronto Maple Leafs,60.0,2,3.23
2022-10-17,Linus Ullmark,home,Boston Bruins,Florida Panthers,60.0,3,3.67
2022-10-17,Sergei Bobrovsky,away,Florida Panthers,Boston Bruins,55.1667,4,3.21
2022-10-17,Sam Montembeault,home,Montreal Canadiens,Pittsburgh Penguins,62.6833,2,2.6
2022-10-17,Casey DeSmith,away,Pittsburgh Penguins,Montreal Canadiens,63.15,3,3.14
2022-10-17,Darcy Kuemper,home,Washington Capitals,Vancouver Canucks,59.7667,4,2.23
2022-10-17,Thatcher Demko,away,Vancouver Canucks,Washington Capitals,58.7,6,2.87
2022-10-17,Ville Husso,home,Detroit Red Wings,Los Angeles Kings,60.1333,5,3.73
2022-10-17,Jonathan Quick,away,Los Angeles Kings,Detroit Red Wings,59.7167,4,2.91
2022-10-17,Filip Gustavsson,home,Minnesota Wild,Colorado Avalanche,56.5,5,2.84
2022-10-17,Alexandar Georgiev,away,Colorado Avalanche,Minnesota Wild,60.0,3,3.03
2022-10-17,Jake Oettinger,home,Dallas Stars,Winnipeg Jets,60.0,1,2.91
2022-10-17,Connor Hellebuyck,away,Winnipeg Jets,Dallas Stars,60.0,4,3.13
2022-10-17,Philipp Grubauer,home,Seattle Kraken,Carolina Hurricanes,60.0,5,3.36
2022-10-17,Frederik Andersen,away,Carolina Hurricanes,Seattle Kraken,60.0,1,2.1
2022-10-18,Mackenzie Blackwood,home,New Jersey Devils,Anaheim Ducks,60.0,2,2.14
2022-10-18,Anthony Stolarz,away,Anaheim Ducks,New Jersey Devils,58.2833,4,3.75
2022-10-18,Anton Forsberg,home,Ottawa Senators,Boston Bruins,60.0,5,4.04
2022-10-18,Jeremy Swayman,away,Boston Bruins,Ottawa Senators,40.0,6,2.55
2022-10-18,Linus Ullmark,away,Boston Bruins,Ottawa Senators,19.4833,1,0.77
2022-10-18,Elvis Merzlikins,home,Columbus Blue Jackets,Vancouver Canucks,63.35,3,1.93
2022-10-18,Spencer Martin,away,Vancouver Canucks,Columbus Blue Jackets,63.35,4,3.09
2022-10-18,Semyon Varlamov,home,New York Islanders,San Jose Sharks,59.8833,2,2.96
2022-10-18,James Reimer,away,San Jose Sharks,New York Islanders,59.5667,4,3.85
2022-10-18,Juuse Saros,home,Nashville Predators,Los Angeles Kings,64.85,3,3.99
2022-10-18,Cal Petersen,away,Los Angeles Kings,Nashville Predators,65.0,3,3.04
2022-10-18,Andrei Vasilevskiy,home,Tampa Bay Lightning,Philadelphia Flyers,58.2,3,2.42
2022-10-18,Carter Hart,away,Philadelphia Flyers,Tampa Bay Lightning,60.0,2,4.04
2022-10-18,Stuart Skinner,home,Edmonton Oilers,Buffalo Sabres,58.0667,3,2.44
2022-10-18,Eric Comrie,away,Buffalo Sabres,Edmonton Oilers,60.0,2,5.02
2022-10-18,Jacob Markstrom,home,Calgary Flames,Vegas Golden Knights,60.0,2,1.82
2022-10-18,Logan Thompson,away,Vegas Golden Knights,Calgary Flames,57.9667,3,4.11
2022-10-19,Sergei Bobrovsky,home,Florida Panthers,Philadelphia Flyers,60.0,3,2.74
2022-10-19,Felix Sandstrom,away,Philadelphia Flyers,Florida Panthers,55.5833,4,3.29
2022-10-19,Alexandar Georgiev,home,Colorado Avalanche,Winnipeg Jets,60.25,4,2.27
2022-10-19,Connor Hellebuyck,away,Winnipeg Jets,Colorado Avalanche,60.5167,3,2.78
2022-10-19,Martin Jones,home,Seattle Kraken,St Louis Blues,62.1667,4,2.69
2022-10-19,Jordan Binnington,away,St Louis Blues,Seattle Kraken,62.1667,3,3.48
2022-10-20,Linus Ullmark,home,Boston Bruins,Anaheim Ducks,64.7167,1,1.88
2022-10-20,John Gibson,away,Anaheim Ducks,Boston Bruins,64.8333,1,2.86
2022-10-20,Jake Allen,home,Montreal Canadiens,Arizona Coyotes,59.9833,2,2.13
2022-10-20,Connor Ingram,away,Arizona Coyotes,Montreal Canadiens,59.4667,5,2.1
2022-10-20,Ilya Samsonov,home,Toronto Maple Leafs,Dallas Stars,63.55,2,2.74
2022-10-20,Scott Wedgewood,away,Dallas Stars,Toronto Maple Leafs,63.5667,3,4.43
2022-10-20,Tristan Jarry,home,Pittsburgh Penguins,Los Angeles Kings,60.0,1,4.08
2022-10-20,Jonathan Quick,away,Los Angeles Kings,Pittsburgh Penguins,40.0,3,1.84
2022-10-20,Cal Petersen,away,Los Angeles Kings,Pittsburgh Penguins,20.0,3,0.8
2022-10-20,Elvis Merzlikins,home,Columbus Blue Jackets,Nashville Predators,60.0,3,2.93
2022-10-20,Kevin Lankinen,away,Nashville Predators,Columbus Blue Jackets,57.9833,4,4.25
2022-10-20,Igor Shesterkin,home,New York Rangers,San Jose Sharks,60.7833,3,2.6
2022-10-20,James Reimer,away,San Jose Sharks,New York Rangers,60.8167,2,2.92
2022-10-20,Anton Forsberg,home,Ottawa Senators,Washington Capitals,60.0,2,2.11
2022-10-20,Darcy Kuemper,away,Washington Capitals,Ottawa Senators,58.95,3,3.55
2022-10-20,Ilya Sorokin,home,New York Islanders,New Jersey Devils,57.0167,3,4.14
2022-10-20,Mackenzie Blackwood,away,New Jersey Devils,New York Islanders,60.0,1,1.6
2022-10-20,Marc-Andre Fleury,home,Minnesota Wild,Vancouver Canucks,62.0833,3,3.06
2022-10-20,Thatcher Demko,away,Vancouver Canucks,Minnesota Wild,63.0333,4,3.14
2022-10-20,Jacob Markstrom,home,Calgary Flames,Buffalo Sabres,20.0,3,1.37
2022-10-20,Dan Vladar,home,Calgary Flames,Buffalo Sabres,38.9667,2,1.95
2022-10-20,Eric Comrie,away,Buffalo Sabres,Calgary Flames,60.0,3,2.87
2022-10-20,Jack Campbell,home,Edmonton Oilers,Carolina Hurricanes,59.7833,4,3.57
2022-10-20,Frederik Andersen,away,Carolina Hurricanes,Edmonton Oilers,58.6667,5,3.34
2022-10-20,Adin Hill,home,Vegas Golden Knights,Winnipeg Jets,59.8667,2,1.42
2022-10-20,David Rittich,away,Winnipeg Jets,Vegas Golden Knights,56.6833,4,2.43
2022-10-21,Sergei Bobrovsky,home,Florida Panthers,Tampa Bay Lightning,61.7,3,3.37
2022-10-21,Andrei Vasilevskiy,away,Tampa Bay Lightning,Florida Panthers,62.1333,2,2.72
2022-10-21,Alex Stalock,home,Chicago Blackhawks,Detroit Red Wings,22.2667,0,0.97
2022-10-21,Petr Mrazek,home,Chicago Blackhawks,Detroit Red Wings,39.6167,3,1.36
2022-10-21,Alex Nedeljkovic,away,Detroit Red Wings,Chicago Blackhawks,62.2667,4,2.74
2022-10-21,Pavel Francouz,home,Colorado Avalanche,Seattle Kraken,59.4167,3,3.07
2022-10-21,Martin Jones,away,Seattle Kraken,Colorado Avalanche,9.7167,0,0.29
2022-10-21,Philipp Grubauer,away,Seattle Kraken,Colorado Avalanche,50.2833,2,1.8
2022-10-22,Linus Ullmark,home,Boston Bruins,Minnesota Wild,64.8167,3,1.77
2022-10-22,Marc-Andre Fleury,away,Minnesota Wild,Boston Bruins,64.6667,4,4.38
2022-10-22,Mackenzie Blackwood,home,New Jersey Devils,San Jose Sharks,59.8833,1,2.17
2022-10-22,Kaapo Kahkonen,away,San Jose Sharks,New Jersey Devils,56.6,2,3.63
2022-10-22,Anton Forsberg,home,Ottawa Senators,Arizona Coyotes,60.0,2,1.37
2022-10-22,Karel Vejmelka,away,Arizona Coyotes,Ottawa Senators,59.9833,6,3.23
2022-10-22,Jack Campbell,home,Edmonton Oilers,St Louis Blues,58.5167,1,2.0
2022-10-22,Jordan Binnington,away,St Louis Blues,Edmonton Oilers,60.0,0,2.07
2022-10-22,Jake Allen,home,Montreal Canadiens,Dallas Stars,60.0,5,3.76
2022-10-22,Jake Oettinger,away,Dallas Stars,Montreal Canadiens,60.0,2,2.54
2022-10-22,Darcy Kuemper,home,Washington Capitals,Los Angeles Kings,59.9,3,1.9
2022-10-22,Jonathan Quick,away,Los Angeles Kings,Washington Capitals,57.4,4,2.64
2022-10-22,Brian Elliott,home,Tampa Bay Lightning,New York Islanders,59.4333,3,3.29
2022-10-22,Ilya Sorokin,away,New York Islanders,Tampa Bay Lightning,57.2833,5,3.13
2022-10-22,Elvis Merzlikins,home,Columbus Blue Jackets,Pittsburgh Penguins,60.0,6,3.82
2022-10-22,Tristan Jarry,away,Pittsburgh Penguins,Columbus Blue Jackets,59.3,3,2.18
2022-10-22,Connor Hellebuyck,home,Winnipeg Jets,Toronto Maple Leafs,59.7667,3,3.06
2022-10-22,Ilya Samsonov,away,Toronto Maple Leafs,Winnipeg Jets,59.7,1,2.98
2022-10-22,Juuse Saros,home,Nashville Predators,Philadelphia Flyers,56.5333,3,1.82
2022-10-22,Carter Hart,away,Philadelphia Flyers,Nashville Predators,60.0,1,3.05
2022-10-22,Thatcher Demko,home,Vancouver Canucks,Buffalo Sabres,59.8,4,2.59
2022-10-22,Craig Anderson,away,Buffalo Sabres,Vancouver Canucks,60.0,1,2.99
2022-10-22,Jacob Markstrom,home,Calgary Flames,Carolina Hurricanes,64.5,2,3.1
2022-10-22,Antti Raanta,away,Carolina Hurricanes,Calgary Flames,64.3,3,2.5
2022-10-22,Logan Thompson,home,Vegas Golden Knights,Colorado Avalanche,57.6833,3,1.6
2022-10-22,Alexandar Georgiev,away,Colorado Avalanche,Vegas Golden Knights,59.55,2,3.0
2022-10-23,Alex Stalock,home,Chicago Blackhawks,Seattle Kraken,60.0,4,3.08
2022-10-23,Martin Jones,away,Seattle Kraken,Chicago Blackhawks,58.5,5,2.4
2022-10-23,Ville Husso,home,Detroit Red Wings,Anaheim Ducks,60.0,1,3.2
2022-10-23,John Gibson,away,Anaheim Ducks,Detroit Red Wings,60.0,5,3.76
2022-10-23,Jaroslav Halak,home,New York Rangers,Columbus Blue Jackets,60.0,5,2.09
2022-10-23,Daniil Tarasov,away,Columbus Blue Jackets,New York Rangers,60.0,1,3.09
2022-10-23,Spencer Knight,home,Florida Panthers,New York Islanders,59.8333,2,2.32
2022-10-23,Semyon Varlamov,away,New York Islanders,Florida Panthers,58.6,3,2.71
2022-10-23,Felix Sandstrom,home,Philadelphia Flyers,San Jose Sharks,59.0167,2,2.0
2022-10-23,James Reimer,away,San Jose Sharks,Philadelphia Flyers,60.0,0,2.28
2022-10-24,Magnus Hellberg,home,Ottawa Senators,Dallas Stars,60.0,2,2.94
2022-10-24,Scott Wedgewood,away,Dallas Stars,Ottawa Senators,56.7167,4,3.81
2022-10-24,Mackenzie Blackwood,home,New Jersey Devils,Washington Capitals,40.0,5,1.87
2022-10-24,Vitek Vanecek,home,New Jersey Devils,Washington Capitals,20.0,1,0.19
2022-10-24,Charlie Lindgren,away,Washington Capitals,New Jersey Devils,60.0,3,4.73
2022-10-24,Jack Campbell,home,Edmonton Oilers,Pittsburgh Penguins,60.0,3,3.0
2022-10-24,Tristan Jarry,away,Pittsburgh Penguins,Edmonton Oilers,59.9333,6,4.02
2022-10-24,Connor Hellebuyck,home,Winnipeg Jets,St Louis Blues,60.0,0,2.33
2022-10-24,Thomas Greiss,away,St Louis Blues,Winnipeg Jets,59.5333,3,3.65
2022-10-24,Logan Thompson,home,Vegas Golden Knights,Toronto Maple Leafs,60.0,1,3.41
2022-10-24,Ilya Samsonov,away,Toronto Maple Leafs,Vegas Golden Knights,55.95,3,4.58
2022-10-24,Thatcher Demko,home,Vancouver Canucks,Carolina Hurricanes,57.7667,3,3.38
2022-10-24,Frederik Andersen,away,Carolina Hurricanes,Vancouver Canucks,60.0,2,1.88
2022-10-25,Daniil Tarasov,home,Columbus Blue Jackets,Arizona Coyotes,35.1167,4,1.48
2022-10-25,Elvis Merzlikins,home,Columbus Blue Jackets,Arizona Coyotes,22.9167,1,0.55
2022-10-25,Connor Ingram,away,Arizona Coyotes,Columbus Blue Jackets,60.0,3,3.33
2022-10-25,Igor Shesterkin,home,New York Rangers,Colorado Avalanche,64.0,2,3.9
2022-10-25,Alexandar Georgiev,away,Colorado Avalanche,New York Rangers,65.0,2,3.9
2022-10-25,Linus Ullmark,home,Boston Bruins,Dallas Stars,59.9167,1,2.55
2022-10-25,Jake Oettinger,away,Dallas Stars,Boston Bruins,58.9167,2,2.88
2022-10-25,Jake Allen,home,Montreal Canadiens,Minnesota Wild,59.1333,2,3.57
2022-10-25,Marc-Andre Fleury,away,Minnesota Wild,Montreal Canadiens,59.7333,1,2.85
2022-10-25,Alex Nedeljkovic,home,Detroit Red Wings,New Jersey Devils,60.0,6,2.43
2022-10-25,Vitek Vanecek,away,New Jersey Devils,Detroit Red Wings,60.0,2,1.99
2022-10-25,Alex Stalock,home,Chicago Blackhawks,Florida Panthers,60.0,2,3.41
2022-10-25,Sergei Bobrovsky,away,Florida Panthers,Chicago Blackhawks,58.1833,3,1.1
2022-10-25,Jacob Markstrom,home,Calgary Flames,Pittsburgh Penguins,60.0,1,3.68
2022-10-25,Casey DeSmith,away,Pittsburgh Penguins,Calgary Flames,59.6167,4,3.36
2022-10-25,Martin Jones,home,Seattle Kraken,Buffalo Sabres,59.6,1,1.85
2022-10-25,Eric Comrie,away,Buffalo Sabres,Seattle Kraken,59.9333,5,3.02
2022-10-25,Jonathan Quick,home,Los Angeles Kings,Tampa Bay Lightning,60.0,2,2.44
2022-10-25,Andrei Vasilevskiy,away,Tampa Bay Lightning,Los Angeles Kings,57.8,4,3.03
2022-10-25,James Reimer,home,San Jose Sharks,Vegas Golden Knights,55.5333,4,2.46
2022-10-25,Adin Hill,away,Vegas Golden Knights,San Jose Sharks,60.0,2,2.91
2022-10-26,Ilya Sorokin,home,New York Islanders,New York Rangers,60.0,0,4.62
2022-10-26,Jaroslav Halak,away,New York Rangers,New York Islanders,59.7667,3,2.94
2022-10-26,Jordan Binnington,home,St Louis Blues,Edmonton Oilers,58.9167,2,2.74
2022-10-26,Stuart Skinner,away,Edmonton Oilers,St Louis Blues,60.0,1,3.55
2022-10-26,John Gibson,home,Anaheim Ducks,Tampa Bay Lightning,57.9,3,2.57
2022-10-26,Brian Elliott,away,Tampa Bay Lightning,Anaheim Ducks,60.0,2,1.51
2022-10-27,Jeremy Swayman,home,Boston Bruins,Detroit Red Wings,59.75,1,3.66
2022-10-27,Ville Husso,away,Detroit Red Wings,Boston Bruins,59.6333,5,3.5
2022-10-27,Carter Hart,home,Philadelphia Flyers,Florida Panthers,60.0,3,4.99
2022-10-27,Sergei Bobrovsky,away,Florida Panthers,Philadelphia Flyers,57.7667,4,1.94
2022-10-27,Anton Forsberg,home,Ottawa Senators,Minnesota Wild,58.7333,3,3.44
2022-10-27,Marc-Andre Fleury,away,Minnesota Wild,Ottawa Senators,59.7833,2,3.47
2022-10-27,Eric Comrie,home,Buffalo Sabres,Montreal Canadiens,59.35,3,2.84
2022-10-27,Sam Montembeault,away,Montreal Canadiens,Buffalo Sabres,60.0,2,3.83
2022-10-27,Juuse Saros,home,Nashville Predators,St Louis Blues,60.0,2,3.03
2022-10-27,Thomas Greiss,away,St Louis Blues,Nashville Predators,57.5,5,3.92
2022-10-27,Alex Stalock,home,Chicago Blackhawks,Edmonton Oilers,59.7667,6,2.84
2022-10-27,Jack Campbell,away,Edmonton Oilers,Chicago Blackhawks,60.0,5,3.83
2022-10-27,Jake Oettinger,home,Dallas Stars,Washington Capitals,59.95,0,2.52
2022-10-27,Darcy Kuemper,away,Washington Capitals,Dallas Stars,56.3,2,2.24
2022-10-27,Martin Jones,home,Seattle Kraken,Vancouver Canucks,58.3333,4,1.72
2022-10-27,Thatcher Demko,away,Vancouver Canucks,Seattle Kraken,60.0,4,2.96
2022-10-27,Kaapo Kahkonen,home,San Jose Sharks,Toronto Maple Leafs,60.95,3,2.14
2022-10-27,Erik Kallgren,away,Toronto Maple Leafs,San Jose Sharks,60.95,4,2.64
2022-10-27,Jonathan Quick,home,Los Angeles Kings,Winnipeg Jets,59.6167,5,2.02
2022-10-27,Connor Hellebuyck,away,Winnipeg Jets,Los Angeles Kings,59.1333,4,3.67
2022-10-28,Logan Thompson,home,Vegas Golden Knights,Anaheim Ducks,60.0,0,1.96
2022-10-28,John Gibson,away,Anaheim Ducks,Vegas Golden Knights,40.0,4,1.63
2022-10-28,Anthony Stolarz,away,Anaheim Ducks,Vegas Golden Knights,20.0,0,0.47
2022-10-28,Daniil Tarasov,home,Columbus Blue Jackets,Boston Bruins,20.0,0,0.43
2022-10-28,Elvis Merzlikins,home,Columbus Blue Jackets,Boston Bruins,40.0,4,2.21
2022-10-28,Linus Ullmark,away,Boston Bruins,Columbus Blue Jackets,59.5667,0,1.98
2022-10-28,Vitek Vanecek,home,New Jersey Devils,Colorado Avalanche,60.0,0,2.52
2022-10-28,Pavel Francouz,away,Colorado Avalanche,New Jersey Devils,58.45,1,2.02
2022-10-28,Frederik Andersen,home,Carolina Hurricanes,New York Islanders,59.8,5,2.8
2022-10-28,Ilya Sorokin,away,New York Islanders,Carolina Hurricanes,60.0,2,3.55
2022-10-28,Spencer Martin,home,Vancouver Canucks,Pittsburgh Penguins,60.0,1,3.2
2022-10-28,Tristan Jarry,away,Pittsburgh Penguins,Vancouver Canucks,59.0667,4,3.01
2022-10-28,Karel Vejmelka,home,Arizona Coyotes,Winnipeg Jets,60.3167,3,3.38
2022-10-28,David Rittich,away,Winnipeg Jets,Arizona Coyotes,60.5333,2,1.58
2022-10-29,Jake Oettinger,home,Dallas Stars,New York Rangers,26.3833,2,1.33
2022-10-29,Scott Wedgewood,home,Dallas Stars,New York Rangers,33.6167,4,2.2
2022-10-29,Igor Shesterkin,away,New York Rangers,Dallas Stars,59.2667,3,3.11
2022-10-29,Spencer Knight,home,Florida Panthers,Ottawa Senators,59.8833,3,2.32
2022-10-29,Anton Forsberg,away,Ottawa Senators,Florida Panthers,57.8333,4,5.36
2022-10-29,James Reimer,home,San Jose Sharks,Tampa Bay Lightning,58.75,4,3.49
2022-10-29,Andrei Vasilevskiy,away,Tampa Bay Lightning,San Jose Sharks,59.8167,3,3.06
2022-10-29,Carter Hart,home,Philadelphia Flyers,Carolina Hurricanes,64.1,4,3.78
2022-10-29,Antti Raanta,away,Carolina Hurricanes,Philadelphia Flyers,64.0167,3,2.91
2022-10-29,Craig Anderson,home,Buffalo Sabres,Chicago Blackhawks,60.4833,3,3.24
2022-10-29,Arvid Soderblom,away,Chicago Blackhawks,Buffalo Sabres,60.4,4,4.63
2022-10-29,Ville Husso,home,Detroit Red Wings,Minnesota Wild,60.0,1,2.6
2022-10-29,Filip Gustavsson,away,Minnesota Wild,Detroit Red Wings,57.9,2,1.83
2022-10-29,Jordan Binnington,home,St Louis Blues,Montreal Canadiens,58.65,6,2.87
2022-10-29,Jake Allen,away,Montreal Canadiens,St Louis Blues,59.95,4,3.04
2022-10-29,Cal Petersen,home,Los Angeles Kings,Toronto Maple Leafs,60.0,2,3.33
2022-10-29,Ilya Samsonov,away,Toronto Maple Leafs,Los Angeles Kings,58.2167,4,3.03
2022-10-29,Semyon Varlamov,home,New York Islanders,Colorado Avalanche,60.0,4,3.25
2022-10-29,Alexandar Georgiev,away,Colorado Avalanche,New York Islanders,58.2333,4,5.67
2022-10-29,Juuse Saros,home,Nashville Predators,Washington Capitals,57.5333,2,3.83
2022-10-29,Darcy Kuemper,away,Washington Capitals,Nashville Predators,59.7667,0,4.12
2022-10-29,Jacob Markstrom,home,Calgary Flames,Edmonton Oilers,58.6667,3,2.99
2022-10-29,Stuart Skinner,away,Edmonton Oilers,Calgary Flames,59.95,2,3.59
2022-10-29,Martin Jones,home,Seattle Kraken,Pittsburgh Penguins,60.0,1,3.36
2022-10-29,Casey DeSmith,away,Pittsburgh Penguins,Seattle Kraken,58.8833,2,3.48
