,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Score,Season
24,24,24,24,24,10-5-2017,Antti Niemi,away,Pittsburgh Penguins,Chicago Blackhawks,9.2667,4,1.08,-2.92,20172018
25,25,25,25,25,10-5-2017,Matt Murray,away,Pittsburgh Penguins,Chicago Blackhawks,50.7333,6,2.39,-3.61,20172018
26,26,26,26,26,10-6-2017,Marc-Andre Fleury,away,Vegas Golden Knights,Dallas Stars,59.4833,1,3.72,2.72,20172018
27,27,27,27,27,10-6-2017,Sergei Bobrovsky,home,Columbus Blue Jackets,New York Islanders,59.8833,0,2.39,2.39,20172018
28,28,28,28,28,10-6-2017,Ben Bishop,home,Dallas Stars,Vegas Golden Knights,43.9667,0,1.72,1.72,20172018
29,29,29,29,29,10-6-2017,Jaroslav Halak,away,New York Islanders,Columbus Blue Jackets,28.1667,0,0.98,0.98,20172018
30,30,30,30,30,10-6-2017,Andrei Vasilevskiy,home,Tampa Bay Lightning,Florida Panthers,60.0,3,3.13,0.13,20172018
31,31,31,31,31,10-6-2017,Kari Lehtonen,home,Dallas Stars,Vegas Golden Knights,15.0,2,0.73,-1.27,20172018
32,32,32,32,32,10-6-2017,Roberto Luongo,away,Florida Panthers,Tampa Bay Lightning,58.3333,4,1.75,-2.25,20172018
33,33,33,33,33,10-6-2017,Thomas Greiss,away,New York Islanders,Columbus Blue Jackets,31.8333,5,2.21,-2.79,20172018
34,34,34,34,34,10-7-2017,Cory Schneider,home,New Jersey Devils,Colorado Avalanche,60.0,1,3.9,2.9,20172018
35,35,35,35,35,10-7-2017,Jimmy Howard,away,Detroit Red Wings,Ottawa Senators,65.0,1,3.34,2.34,20172018
36,36,36,36,36,10-7-2017,Braden Holtby,home,Washington Capitals,Montreal Canadiens,59.8333,1,3.27,2.27,20172018
37,37,37,37,37,10-7-2017,Antti Raanta,home,Arizona Coyotes,Vegas Golden Knights,43.7667,2,4.2,2.2,20172018
38,38,38,38,38,10-7-2017,Marc-Andre Fleury,away,Vegas Golden Knights,Arizona Coyotes,62.6667,1,3.17,2.17,20172018
39,39,39,39,39,10-7-2017,Matt Murray,home,Pittsburgh Penguins,Nashville Predators,60.0,0,2.05,2.05,20172018
40,40,40,40,40,10-7-2017,Laurent Brossoit,away,Edmonton Oilers,Vancouver Canucks,37.9333,0,1.87,1.87,20172018
41,41,41,41,41,10-7-2017,Jonathan Quick,away,Los Angeles Kings,San Jose Sharks,60.0,1,2.47,1.47,20172018
42,42,42,42,42,10-7-2017,Craig Anderson,home,Ottawa Senators,Detroit Red Wings,64.9167,1,2.1,1.1,20172018
43,43,43,43,43,10-7-2017,Jake Allen,home,St Louis Blues,Dallas Stars,60.0,2,3.09,1.09,20172018
44,44,44,44,44,10-7-2017,Aaron Dell,home,San Jose Sharks,Los Angeles Kings,23.0333,0,1.05,1.05,20172018
45,45,45,45,45,10-7-2017,Corey Crawford,home,Chicago Blackhawks,Columbus Blue Jackets,60.0,1,2.02,1.02,20172018
46,46,46,46,46,10-7-2017,Jacob Markstrom,home,Vancouver Canucks,Edmonton Oilers,59.5667,2,3.01,1.01,20172018
47,47,47,47,47,10-7-2017,Chad Johnson,away,Buffalo Sabres,New York Islanders,31.0167,1,1.62,0.62,20172018
48,48,48,48,48,10-7-2017,Jonathan Bernier,away,Colorado Avalanche,New Jersey Devils,59.2667,4,4.33,0.33,20172018
49,49,49,49,49,10-7-2017,Jaroslav Halak,home,New York Islanders,Buffalo Sabres,60.0,3,3.33,0.33,20172018
50,50,50,50,50,10-7-2017,Ondrej Pavelec,away,New York Rangers,Toronto Maple Leafs,38.5667,3,2.99,-0.01,20172018
51,51,51,51,51,10-7-2017,Brian Elliott,away,Philadelphia Flyers,Anaheim Ducks,60.4,2,1.93,-0.07,20172018
52,52,52,52,52,10-7-2017,Alex Stalock,away,Minnesota Wild,Carolina Hurricanes,64.1,4,3.71,-0.29,20172018
53,53,53,53,53,10-7-2017,John Gibson,home,Anaheim Ducks,Philadelphia Flyers,60.7333,3,2.34,-0.66,20172018
54,54,54,54,54,10-7-2017,Scott Darling,home,Carolina Hurricanes,Minnesota Wild,65.0,4,3.25,-0.75,20172018
55,55,55,55,55,10-7-2017,Andrei Vasilevskiy,away,Tampa Bay Lightning,Florida Panthers,57.6667,5,4.1,-0.9,20172018
56,56,56,56,56,10-7-2017,Martin Jones,home,San Jose Sharks,Los Angeles Kings,34.0833,4,3.03,-0.97,20172018
57,57,57,57,57,10-7-2017,Mike Smith,home,Calgary Flames,Winnipeg Jets,59.9667,3,1.91,-1.09,20172018
58,58,58,58,58,10-7-2017,Al Montoya,away,Montreal Canadiens,Washington Capitals,39.8667,2,0.89,-1.11,20172018
59,59,59,59,59,10-7-2017,Juuse Saros,away,Nashville Predators,Pittsburgh Penguins,60.0,4,2.67,-1.33,20172018
60,60,60,60,60,10-7-2017,James Reimer,home,Florida Panthers,Tampa Bay Lightning,59.2667,4,2.55,-1.45,20172018
61,61,61,61,61,10-7-2017,Steve Mason,away,Winnipeg Jets,Calgary Flames,60.0,6,4.14,-1.86,20172018
62,62,62,62,62,10-7-2017,Cam Talbot,away,Edmonton Oilers,Vancouver Canucks,20.5333,3,0.85,-2.15,20172018
63,63,63,63,63,10-7-2017,Robin Lehner,away,Buffalo Sabres,New York Islanders,27.0,4,1.73,-2.27,20172018
64,64,64,64,64,10-7-2017,Frederik Andersen,home,Toronto Maple Leafs,New York Rangers,60.0,5,2.72,-2.28,20172018
65,65,65,65,65,10-7-2017,Kari Lehtonen,away,Dallas Stars,St Louis Blues,57.0333,4,1.3,-2.7,20172018
66,66,66,66,66,10-7-2017,Joonas Korpisalo,away,Columbus Blue Jackets,Chicago Blackhawks,60.0,5,2.14,-2.86,20172018
67,67,67,67,67,10-7-2017,Carey Price,away,Montreal Canadiens,Washington Capitals,20.0,4,1.04,-2.96,20172018
68,68,68,68,68,10-7-2017,Henrik Lundqvist,away,New York Rangers,Toronto Maple Leafs,20.0,5,1.9,-3.1,20172018
69,69,69,69,69,10-8-2017,Henrik Lundqvist,home,New York Rangers,Montreal Canadiens,59.7833,0,2.85,2.85,20172018
70,70,70,70,70,10-8-2017,Carey Price,away,Montreal Canadiens,New York Rangers,57.55,2,2.37,0.37,20172018
71,71,71,71,71,10-9-2017,Mike Smith,away,Calgary Flames,Anaheim Ducks,60.0,0,3.96,3.96,20172018
72,72,72,72,72,10-9-2017,Semyon Varlamov,away,Colorado Avalanche,Boston Bruins,60.0,0,3.04,3.04,20172018
73,73,73,73,73,10-9-2017,Jake Allen,away,St Louis Blues,New York Islanders,64.75,2,4.36,2.36,20172018
74,74,74,74,74,10-9-2017,Anton Forsberg,away,Chicago Blackhawks,Toronto Maple Leafs,63.7167,4,5.31,1.31,20172018
75,75,75,75,75,10-9-2017,John Gibson,home,Anaheim Ducks,Calgary Flames,56.35,2,2.85,0.85,20172018
76,76,76,76,76,10-9-2017,Connor Hellebuyck,away,Winnipeg Jets,Edmonton Oilers,59.8167,2,2.8,0.8,20172018
77,77,77,77,77,10-9-2017,Robin Lehner,home,Buffalo Sabres,New Jersey Devils,20.0,0,0.68,0.68,20172018
78,78,78,78,78,10-9-2017,Philipp Grubauer,away,Washington Capitals,Tampa Bay Lightning,63.1333,4,4.44,0.44,20172018
79,79,79,79,79,10-9-2017,Thomas Greiss,home,New York Islanders,St Louis Blues,64.6,2,2.08,0.08,20172018
80,80,80,80,80,10-9-2017,Cory Schneider,away,New Jersey Devils,Buffalo Sabres,60.0,2,1.63,-0.37,20172018
81,81,81,81,81,10-9-2017,Frederik Andersen,home,Toronto Maple Leafs,Chicago Blackhawks,63.1333,3,2.46,-0.54,20172018
82,82,82,82,82,10-9-2017,Tuukka Rask,home,Boston Bruins,Colorado Avalanche,59.7,3,2.23,-0.77,20172018
83,83,83,83,83,10-9-2017,Andrei Vasilevskiy,home,Tampa Bay Lightning,Washington Capitals,62.75,3,1.77,-1.23,20172018
84,84,84,84,84,10-9-2017,Cam Talbot,home,Edmonton Oilers,Winnipeg Jets,60.0,5,2.76,-2.24,20172018
85,85,85,85,85,10-9-2017,Chad Johnson,home,Buffalo Sabres,New Jersey Devils,40.0,6,2.56,-3.44,20172018
86,86,86,86,86,10-10-2017,Corey Crawford,away,Chicago Blackhawks,Montreal Canadiens,60.0,1,3.86,2.86,20172018
87,87,87,87,87,10-10-2017,Sergei Bobrovsky,away,Columbus Blue Jackets,Carolina Hurricanes,64.3167,1,2.97,1.97,20172018
88,88,88,88,88,10-10-2017,Carter Hutton,away,St Louis Blues,New York Rangers,60.0,1,2.92,1.92,20172018
89,89,89,89,89,10-10-2017,Petr Mrazek,away,Detroit Red Wings,Dallas Stars,57.0667,3,3.99,0.99,20172018
90,90,90,90,90,10-10-2017,Scott Darling,home,Carolina Hurricanes,Columbus Blue Jackets,63.5833,2,2.75,0.75,20172018
91,91,91,91,91,10-10-2017,Jacob Markstrom,home,Vancouver Canucks,Ottawa Senators,64.4333,2,2.71,0.71,20172018
92,92,92,92,92,10-10-2017,Craig Anderson,away,Ottawa Senators,Vancouver Canucks,65.0,2,2.43,0.43,20172018
93,93,93,93,93,10-10-2017,Henrik Lundqvist,home,New York Rangers,St Louis Blues,58.35,2,2.23,0.23,20172018
94,94,94,94,94,10-10-2017,Marc-Andre Fleury,home,Vegas Golden Knights,Arizona Coyotes,60.0,2,2.22,0.22,20172018
95,95,95,95,95,10-10-2017,Ben Bishop,home,Dallas Stars,Detroit Red Wings,60.0,2,2.02,0.02,20172018
96,96,96,96,96,10-10-2017,Louis Domingue,away,Arizona Coyotes,Vegas Golden Knights,53.75,2,1.53,-0.47,20172018
97,97,97,97,97,10-10-2017,Carey Price,home,Montreal Canadiens,Chicago Blackhawks,57.5167,3,1.69,-1.31,20172018
98,98,98,98,98,10-10-2017,Brian Elliott,away,Philadelphia Flyers,Nashville Predators,59.6167,6,3.98,-2.02,20172018
99,99,99,99,99,10-10-2017,Antti Raanta,away,Arizona Coyotes,Vegas Golden Knights,6.25,3,0.31,-2.69,20172018
100,100,100,100,100,10-10-2017,Pekka Rinne,home,Nashville Predators,Philadelphia Flyers,58.8667,5,2.28,-2.72,20172018
101,101,101,101,101,10-11-2017,Cory Schneider,away,New Jersey Devils,Toronto Maple Leafs,60.0,3,6.13,3.13,20172018
102,102,102,102,102,10-11-2017,John Gibson,home,Anaheim Ducks,New York Islanders,60.0,2,3.87,1.87,20172018
103,103,103,103,103,10-11-2017,Mike Smith,away,Calgary Flames,Los Angeles Kings,61.0333,3,4.44,1.44,20172018
104,104,104,104,104,10-11-2017,Braden Holtby,home,Washington Capitals,Pittsburgh Penguins,58.5167,3,3.67,0.67,20172018
105,105,105,105,105,10-11-2017,Anton Khudobin,away,Boston Bruins,Colorado Avalanche,19.3333,0,0.46,0.46,20172018
106,106,106,106,106,10-11-2017,Jaroslav Halak,away,New York Islanders,Anaheim Ducks,58.5667,3,3.06,0.06,20172018
107,107,107,107,107,10-11-2017,Matt Murray,away,Pittsburgh Penguins,Washington Capitals,60.0,2,1.7,-0.3,20172018
108,108,108,108,108,10-11-2017,Jonathan Quick,home,Los Angeles Kings,Calgary Flames,61.0333,4,3.43,-0.57,20172018
109,109,109,109,109,10-11-2017,Semyon Varlamov,home,Colorado Avalanche,Boston Bruins,60.0,3,2.17,-0.83,20172018
110,110,110,110,110,10-11-2017,Tuukka Rask,away,Boston Bruins,Colorado Avalanche,40.0,4,2.46,-1.54,20172018
111,111,111,111,111,10-11-2017,Frederik Andersen,home,Toronto Maple Leafs,New Jersey Devils,59.35,6,3.55,-2.45,20172018
112,112,112,112,112,10-12-2017,Roberto Luongo,home,Florida Panthers,St Louis Blues,59.5,2,4.24,2.24,20172018
113,113,113,113,113,10-12-2017,Pekka Rinne,home,Nashville Predators,Dallas Stars,60.0,1,3.0,2.0,20172018
114,114,114,114,114,10-12-2017,Jimmy Howard,away,Detroit Red Wings,Arizona Coyotes,60.0,2,2.87,0.87,20172018
115,115,115,115,115,10-12-2017,Devan Dubnyk,away,Minnesota Wild,Chicago Blackhawks,60.0,2,2.49,0.49,20172018
116,116,116,116,116,10-12-2017,Antti Raanta,home,Arizona Coyotes,Detroit Red Wings,20.0,0,0.36,0.36,20172018
117,117,117,117,117,10-12-2017,Connor Hellebuyck,away,Winnipeg Jets,Vancouver Canucks,59.6833,2,2.25,0.25,20172018
118,118,118,118,118,10-12-2017,Corey Crawford,home,Chicago Blackhawks,Minnesota Wild,59.6333,3,2.81,-0.19,20172018
119,119,119,119,119,10-12-2017,Martin Jones,home,San Jose Sharks,Buffalo Sabres,60.0,2,1.62,-0.38,20172018
120,120,120,120,120,10-12-2017,Andrei Vasilevskiy,home,Tampa Bay Lightning,Pittsburgh Penguins,60.0,4,3.5,-0.5,20172018
121,121,121,121,121,10-12-2017,Ben Bishop,away,Dallas Stars,Nashville Predators,58.0167,3,2.4,-0.6,20172018
122,122,122,122,122,10-12-2017,Robin Lehner,away,Buffalo Sabres,San Jose Sharks,58.4333,3,2.35,-0.65,20172018
123,123,123,123,123,10-12-2017,Louis Domingue,home,Arizona Coyotes,Detroit Red Wings,39.1333,3,1.67,-1.33,20172018
124,124,124,124,124,10-12-2017,Jacob Markstrom,home,Vancouver Canucks,Winnipeg Jets,58.8333,3,1.16,-1.84,20172018
125,125,125,125,125,10-12-2017,Jake Allen,away,St Louis Blues,Florida Panthers,60.0,5,2.83,-2.17,20172018
126,126,126,126,126,10-12-2017,Antti Niemi,away,Pittsburgh Penguins,Tampa Bay Lightning,58.8667,5,2.8,-2.2,20172018
127,127,127,127,127,10-13-2017,Henrik Lundqvist,away,New York Rangers,Columbus Blue Jackets,58.45,2,4.6,2.6,20172018
128,128,128,128,128,10-13-2017,Sergei Bobrovsky,home,Columbus Blue Jackets,New York Rangers,59.9333,1,3.02,2.02,20172018
129,129,129,129,129,10-13-2017,Craig Anderson,away,Ottawa Senators,Calgary Flames,59.8667,0,2.0,2.0,20172018
130,130,130,130,130,10-13-2017,Reto Berra,away,Anaheim Ducks,Colorado Avalanche,38.9667,1,1.57,0.57,20172018
131,131,131,131,131,10-13-2017,John Gibson,away,Anaheim Ducks,Colorado Avalanche,20.0,1,1.48,0.48,20172018
132,132,132,132,132,10-13-2017,Jonathan Bernier,home,Colorado Avalanche,Anaheim Ducks,59.9833,1,1.33,0.33,20172018
133,133,133,133,133,10-13-2017,Braden Holtby,away,Washington Capitals,New Jersey Devils,60.0,2,1.78,-0.22,20172018
134,134,134,134,134,10-13-2017,Petr Mrazek,away,Detroit Red Wings,Vegas Golden Knights,60.0,3,2.47,-0.53,20172018
135,135,135,135,135,10-13-2017,Eddie Lack,home,Calgary Flames,Ottawa Senators,12.0333,1,0.36,-0.64,20172018
136,136,136,136,136,10-13-2017,Cory Schneider,home,New Jersey Devils,Washington Capitals,60.0,5,3.56,-1.44,20172018
137,137,137,137,137,10-13-2017,Mike Smith,home,Calgary Flames,Ottawa Senators,47.9667,5,2.41,-2.59,20172018
138,138,138,138,138,10-13-2017,Marc-Andre Fleury,home,Vegas Golden Knights,Detroit Red Wings,59.7333,6,2.4,-3.6,20172018
139,139,139,139,139,10-14-2017,Mike Condon,away,Ottawa Senators,Edmonton Oilers,59.9333,1,4.72,3.72,20172018
140,140,140,140,140,10-14-2017,Thomas Greiss,away,New York Islanders,San Jose Sharks,60.0,1,3.32,2.32,20172018
141,141,141,141,141,10-14-2017,Corey Crawford,home,Chicago Blackhawks,Nashville Predators,62.9667,1,2.94,1.94,20172018
142,142,142,142,142,10-14-2017,Semyon Varlamov,away,Colorado Avalanche,Dallas Stars,58.85,2,3.72,1.72,20172018
143,143,143,143,143,10-14-2017,Andrei Vasilevskiy,home,Tampa Bay Lightning,St Louis Blues,59.9667,1,2.17,1.17,20172018
144,144,144,144,144,10-14-2017,Jonathan Quick,home,Los Angeles Kings,Buffalo Sabres,60.0,2,2.89,0.89,20172018
145,145,145,145,145,10-14-2017,Pekka Rinne,away,Nashville Predators,Chicago Blackhawks,63.0833,2,2.76,0.76,20172018
146,146,146,146,146,10-14-2017,Connor Hellebuyck,home,Winnipeg Jets,Carolina Hurricanes,60.0,1,1.7,0.7,20172018
147,147,147,147,147,10-14-2017,Mike Smith,away,Calgary Flames,Vancouver Canucks,59.9333,2,2.58,0.58,20172018
148,148,148,148,148,10-14-2017,Keith Kinkaid,away,New Jersey Devils,New York Rangers,60.0,2,2.55,0.55,20172018
149,149,149,149,149,10-14-2017,Ben Bishop,home,Dallas Stars,Colorado Avalanche,59.7667,1,1.48,0.48,20172018
150,150,150,150,150,10-14-2017,Anton Khudobin,away,Boston Bruins,Arizona Coyotes,59.6,2,2.28,0.28,20172018
151,151,151,151,151,10-14-2017,Matt Murray,home,Pittsburgh Penguins,Florida Panthers,60.0,3,3.24,0.24,20172018
152,152,152,152,152,10-14-2017,Robin Lehner,away,Buffalo Sabres,Los Angeles Kings,59.0,3,3.2,0.2,20172018
153,153,153,153,153,10-14-2017,Scott Darling,away,Carolina Hurricanes,Winnipeg Jets,57.3167,2,2.03,0.03,20172018
154,154,154,154,154,10-14-2017,Jake Allen,away,St Louis Blues,Tampa Bay Lightning,58.4,2,1.69,-0.31,20172018
155,155,155,155,155,10-14-2017,Brian Elliott,home,Philadelphia Flyers,Washington Capitals,60.0,2,1.49,-0.51,20172018
156,156,156,156,156,10-14-2017,Aaron Dell,home,San Jose Sharks,New York Islanders,57.45,2,1.43,-0.57,20172018
157,157,157,157,157,10-14-2017,James Reimer,away,Florida Panthers,Pittsburgh Penguins,58.5667,4,3.16,-0.84,20172018
158,158,158,158,158,10-14-2017,Frederik Andersen,away,Toronto Maple Leafs,Montreal Canadiens,60.75,3,2.07,-0.93,20172018
159,159,159,159,159,10-14-2017,Ondrej Pavelec,home,New York Rangers,New Jersey Devils,57.2833,3,1.75,-1.25,20172018
160,160,160,160,160,10-14-2017,Laurent Brossoit,home,Edmonton Oilers,Ottawa Senators,18.9333,2,0.58,-1.42,20172018
161,161,161,161,161,10-14-2017,Cam Talbot,home,Edmonton Oilers,Ottawa Senators,41.0667,4,1.77,-2.23,20172018
162,162,162,162,162,10-14-2017,Carey Price,home,Montreal Canadiens,Toronto Maple Leafs,40.75,4,1.75,-2.25,20172018
163,163,163,163,163,10-14-2017,Sergei Bobrovsky,away,Columbus Blue Jackets,Minnesota Wild,60.2167,4,1.68,-2.32,20172018
164,164,164,164,164,10-14-2017,Devan Dubnyk,home,Minnesota Wild,Columbus Blue Jackets,60.0833,5,1.99,-3.01,20172018
165,165,165,165,165,10-14-2017,Jacob Markstrom,home,Vancouver Canucks,Calgary Flames,60.0,5,1.64,-3.36,20172018
166,166,166,166,166,10-14-2017,Louis Domingue,home,Arizona Coyotes,Boston Bruins,59.9333,6,2.49,-3.51,20172018
167,167,167,167,167,10-14-2017,Philipp Grubauer,away,Washington Capitals,Philadelphia Flyers,60.0,8,2.9,-5.1,20172018
168,168,168,168,168,10-15-2017,Chad Johnson,away,Buffalo Sabres,Anaheim Ducks,59.8833,1,2.08,1.08,20172018
169,169,169,169,169,10-15-2017,Darcy Kuemper,home,Los Angeles Kings,New York Islanders,59.8333,2,2.91,0.91,20172018
170,170,170,170,170,10-15-2017,Malcolm Subban,home,Vegas Golden Knights,Boston Bruins,60.0,1,1.24,0.24,20172018
171,171,171,171,171,10-15-2017,Tuukka Rask,away,Boston Bruins,Vegas Golden Knights,58.85,2,2.1,0.1,20172018
172,172,172,172,172,10-15-2017,John Gibson,home,Anaheim Ducks,Buffalo Sabres,59.1833,2,1.5,-0.5,20172018
173,173,173,173,173,10-15-2017,Jaroslav Halak,away,New York Islanders,Los Angeles Kings,59.2667,3,1.81,-1.19,20172018
174,174,174,174,174,10-16-2017,Andrei Vasilevskiy,away,Tampa Bay Lightning,Detroit Red Wings,59.5,2,3.0,1.0,20172018
175,175,175,175,175,10-16-2017,Jimmy Howard,home,Detroit Red Wings,Tampa Bay Lightning,58.9167,3,2.67,-0.33,20172018
176,176,176,176,176,10-17-2017,Michal Neuvirth,home,Philadelphia Flyers,Florida Panthers,60.0,1,3.3,2.3,20172018
177,177,177,177,177,10-17-2017,Anders Nilsson,away,Vancouver Canucks,Ottawa Senators,60.0,0,2.29,2.29,20172018
178,178,178,178,178,10-17-2017,Braden Holtby,home,Washington Capitals,Toronto Maple Leafs,58.2667,1,2.96,1.96,20172018
179,179,179,179,179,10-17-2017,Ben Bishop,home,Dallas Stars,Arizona Coyotes,60.0,1,2.89,1.89,20172018
180,180,180,180,180,10-17-2017,Frederik Andersen,away,Toronto Maple Leafs,Washington Capitals,60.0,0,1.73,1.73,20172018
181,181,181,181,181,10-17-2017,Adin Hill,away,Arizona Coyotes,Dallas Stars,58.4167,2,3.34,1.34,20172018
182,182,182,182,182,10-17-2017,Cam Ward,away,Carolina Hurricanes,Edmonton Oilers,59.7667,3,4.3,1.3,20172018
183,183,183,183,183,10-17-2017,Martin Jones,home,San Jose Sharks,Montreal Canadiens,60.0,2,2.87,0.87,20172018
184,184,184,184,184,10-17-2017,Pekka Rinne,home,Nashville Predators,Colorado Avalanche,59.6,1,1.78,0.78,20172018
185,185,185,185,185,10-17-2017,Carey Price,away,Montreal Canadiens,San Jose Sharks,59.4167,4,4.75,0.75,20172018
186,186,186,186,186,10-17-2017,Cory Schneider,home,New Jersey Devils,Tampa Bay Lightning,64.9667,4,3.75,-0.25,20172018
187,187,187,187,187,10-17-2017,Semyon Varlamov,away,Colorado Avalanche,Nashville Predators,60.0,4,3.54,-0.46,20172018
188,188,188,188,188,10-17-2017,Joonas Korpisalo,away,Columbus Blue Jackets,Winnipeg Jets,60.0,2,1.46,-0.54,20172018
189,189,189,189,189,10-17-2017,Peter Budaj,away,Tampa Bay Lightning,New Jersey Devils,65.0,4,3.45,-0.55,20172018
190,190,190,190,190,10-17-2017,Matt Murray,away,Pittsburgh Penguins,New York Rangers,59.7833,4,3.43,-0.57,20172018
191,191,191,191,191,10-17-2017,Malcolm Subban,home,Vegas Golden Knights,Buffalo Sabres,63.8667,4,3.19,-0.81,20172018
192,192,192,192,192,10-17-2017,Roberto Luongo,away,Florida Panthers,Philadelphia Flyers,58.3667,4,3.18,-0.82,20172018
193,193,193,193,193,10-17-2017,Craig Anderson,home,Ottawa Senators,Vancouver Canucks,58.9667,3,1.73,-1.27,20172018
194,194,194,194,194,10-17-2017,Steve Mason,home,Winnipeg Jets,Columbus Blue Jackets,60.0,5,3.59,-1.41,20172018
195,195,195,195,195,10-17-2017,Chad Johnson,away,Buffalo Sabres,Vegas Golden Knights,60.45,5,2.48,-2.52,20172018
196,196,196,196,196,10-17-2017,Henrik Lundqvist,home,New York Rangers,Pittsburgh Penguins,60.9333,5,2.43,-2.57,20172018
197,197,197,197,197,10-17-2017,Laurent Brossoit,home,Edmonton Oilers,Carolina Hurricanes,57.8167,5,1.5,-3.5,20172018
198,198,198,198,198,10-18-2017,Jonathan Quick,home,Los Angeles Kings,Montreal Canadiens,59.95,1,4.23,3.23,20172018
199,199,199,199,199,10-18-2017,Jake Allen,home,St Louis Blues,Chicago Blackhawks,60.0,2,2.7,0.7,20172018
200,200,200,200,200,10-18-2017,Petr Mrazek,away,Detroit Red Wings,Toronto Maple Leafs,43.8833,2,1.55,-0.45,20172018
201,201,201,201,201,10-18-2017,Curtis McElhinney,home,Toronto Maple Leafs,Detroit Red Wings,60.0,3,2.35,-0.65,20172018
202,202,202,202,202,10-18-2017,Al Montoya,away,Montreal Canadiens,Los Angeles Kings,59.7167,5,4.32,-0.68,20172018
203,203,203,203,203,10-18-2017,Corey Crawford,away,Chicago Blackhawks,St Louis Blues,56.9667,4,3.01,-0.99,20172018
204,204,204,204,204,10-18-2017,Jimmy Howard,away,Detroit Red Wings,Toronto Maple Leafs,15.7667,3,0.32,-2.68,20172018
205,205,205,205,205,10-19-2017,Pekka Rinne,away,Nashville Predators,Philadelphia Flyers,60.0,0,2.41,2.41,20172018
206,206,206,206,206,10-19-2017,Andrei Vasilevskiy,away,Tampa Bay Lightning,Columbus Blue Jackets,60.0,0,2.36,2.36,20172018
207,207,207,207,207,10-19-2017,Cam Talbot,away,Edmonton Oilers,Chicago Blackhawks,64.3833,1,2.38,1.38,20172018
208,208,208,208,208,10-19-2017,Anton Forsberg,home,Chicago Blackhawks,Edmonton Oilers,64.7333,2,2.93,0.93,20172018
