Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against
2021-10-16,Jake Allen,home,Montreal Canadiens,New York Rangers,58.6333,2,1.71
2021-10-16,Igor Shesterkin,away,New York Rangers,Montreal Canadiens,59.3833,1,2.6
2021-10-16,Thomas Greiss,home,Detroit Red Wings,Vancouver Canucks,59.9667,1,3.84
2021-10-16,Jaroslav Halak,away,Vancouver Canucks,Detroit Red Wings,57.8,2,2.18
2021-10-16,Sergei Bobrovsky,home,Florida Panthers,New York Islanders,60.0,1,2.15
2021-10-16,Ilya Sorokin,away,New York Islanders,Florida Panthers,60.0,5,2.24
2021-10-16,Tristan Jarry,home,Pittsburgh Penguins,Chicago Blackhawks,59.75,2,1.64
2021-10-16,Marc-Andre Fleury,away,Chicago Blackhawks,Pittsburgh Penguins,11.4167,4,0.81
2021-10-16,Kevin Lankinen,away,Chicago Blackhawks,Pittsburgh Penguins,48.3667,1,1.15
2021-10-16,Vitek Vanecek,home,Washington Capitals,Tampa Bay Lightning,64.75,2,2.41
2021-10-16,Andrei Vasilevskiy,away,Tampa Bay Lightning,Washington Capitals,64.75,1,2.17
2021-10-16,Elvis Merzlikins,home,Columbus Blue Jackets,Seattle Kraken,62.2667,1,1.52
2021-10-16,Philipp Grubauer,away,Seattle Kraken,Columbus Blue Jackets,62.2667,2,1.87
2021-10-16,Juuse Saros,home,Nashville Predators,Carolina Hurricanes,59.1167,2,2.39
2021-10-16,Frederik Andersen,away,Carolina Hurricanes,Nashville Predators,60.0,2,2.75
2021-10-16,Darcy Kuemper,home,Colorado Avalanche,St Louis Blues,56.4333,4,1.94
2021-10-16,Jordan Binnington,away,St Louis Blues,Colorado Avalanche,60.0,3,2.88
2021-10-16,Mike Smith,home,Edmonton Oilers,Calgary Flames,60.0,2,3.48
2021-10-16,Jacob Markstrom,away,Calgary Flames,Edmonton Oilers,58.9167,4,2.19
2021-10-16,Jonathan Quick,home,Los Angeles Kings,Minnesota Wild,58.15,3,2.46
2021-10-16,Cam Talbot,away,Minnesota Wild,Los Angeles Kings,60.0,2,3.23
2021-10-16,Adin Hill,home,San Jose Sharks,Winnipeg Jets,60.0,3,1.63
2021-10-16,Connor Hellebuyck,away,Winnipeg Jets,San Jose Sharks,58.2,4,3.44
2021-10-17,Filip Gustavsson,home,Ottawa Senators,Dallas Stars,60.0,2,1.91
2021-10-17,Anton Khudobin,away,Dallas Stars,Ottawa Senators,58.75,3,2.22
2021-10-18,Jack Campbell,home,Toronto Maple Leafs,New York Rangers,63.8,2,2.18
2021-10-18,Igor Shesterkin,away,New York Rangers,Toronto Maple Leafs,63.8,1,3.29
2021-10-18,Carter Hart,home,Philadelphia Flyers,Seattle Kraken,60.0,1,3.09
2021-10-18,Philipp Grubauer,away,Seattle Kraken,Philadelphia Flyers,28.8167,5,1.85
2021-10-18,Chris Driedger,away,Seattle Kraken,Philadelphia Flyers,31.1833,1,1.0
2021-10-18,Jacob Markstrom,home,Calgary Flames,Anaheim Ducks,63.3833,3,2.05
2021-10-18,John Gibson,away,Anaheim Ducks,Calgary Flames,63.4333,2,4.07
2021-10-18,Carter Hutton,home,Arizona Coyotes,St Louis Blues,36.2833,6,1.88
2021-10-18,Karel Vejmelka,home,Arizona Coyotes,St Louis Blues,23.7167,1,0.97
2021-10-18,Jordan Binnington,away,St Louis Blues,Arizona Coyotes,60.0,4,3.11
2021-10-19,Craig Anderson,home,Buffalo Sabres,Vancouver Canucks,60.0,2,2.17
2021-10-19,Thatcher Demko,away,Vancouver Canucks,Buffalo Sabres,59.2667,4,3.19
2021-10-19,Jake Allen,home,Montreal Canadiens,San Jose Sharks,59.9667,5,2.22
2021-10-19,Adin Hill,away,San Jose Sharks,Montreal Canadiens,60.0,0,1.61
2021-10-19,Thomas Greiss,home,Detroit Red Wings,Columbus Blue Jackets,59.9,1,2.26
2021-10-19,Joonas Korpisalo,away,Columbus Blue Jackets,Detroit Red Wings,58.5833,2,4.17
2021-10-19,Andrei Vasilevskiy,home,Tampa Bay Lightning,Florida Panthers,57.75,3,1.98
2021-10-19,Spencer Knight,away,Florida Panthers,Tampa Bay Lightning,59.5167,1,2.69
2021-10-19,Jonathan Bernier,home,New Jersey Devils,Seattle Kraken,60.0,2,3.15
2021-10-19,Joey Daccord,away,Seattle Kraken,New Jersey Devils,58.5333,3,3.41
2021-10-19,Tristan Jarry,home,Pittsburgh Penguins,Dallas Stars,65.0,1,2.23
2021-10-19,Braden Holtby,away,Dallas Stars,Pittsburgh Penguins,65.0,1,1.85
2021-10-19,Ilya Samsonov,home,Washington Capitals,Colorado Avalanche,60.0,3,2.64
2021-10-19,Darcy Kuemper,away,Colorado Avalanche,Washington Capitals,57.7333,5,3.7
2021-10-19,Marc-Andre Fleury,home,Chicago Blackhawks,New York Islanders,59.9,4,1.6
2021-10-19,Ilya Sorokin,away,New York Islanders,Chicago Blackhawks,60.0,1,3.19
2021-10-19,Juuse Saros,home,Nashville Predators,Los Angeles Kings,59.25,1,1.47
2021-10-19,Cal Petersen,away,Los Angeles Kings,Nashville Predators,57.9667,2,2.6
2021-10-19,Cam Talbot,home,Minnesota Wild,Winnipeg Jets,61.7667,5,2.13
2021-10-19,Connor Hellebuyck,away,Winnipeg Jets,Minnesota Wild,63.3333,6,3.26
2021-10-19,Mikko Koskinen,home,Edmonton Oilers,Anaheim Ducks,27.7,1,1.47
2021-10-19,Mike Smith,home,Edmonton Oilers,Anaheim Ducks,31.0667,4,0.95
2021-10-19,Anthony Stolarz,away,Anaheim Ducks,Edmonton Oilers,57.6833,5,3.96
2021-10-20,Martin Jones,home,Philadelphia Flyers,Boston Bruins,60.0,3,3.31
2021-10-20,Jeremy Swayman,away,Boston Bruins,Philadelphia Flyers,59.4833,5,1.85
2021-10-20,Robin Lehner,home,Vegas Golden Knights,St Louis Blues,58.8167,2,3.75
2021-10-20,Jordan Binnington,away,St Louis Blues,Vegas Golden Knights,60.0,1,3.64
2021-10-21,Jake Allen,home,Montreal Canadiens,Carolina Hurricanes,57.4667,3,2.05
2021-10-21,Frederik Andersen,away,Carolina Hurricanes,Montreal Canadiens,60.0,1,2.92
2021-10-21,Matt Murray,home,Ottawa Senators,San Jose Sharks,58.1333,2,2.22
2021-10-21,James Reimer,away,San Jose Sharks,Ottawa Senators,60.0,1,3.2
2021-10-21,Alex Nedeljkovic,home,Detroit Red Wings,Calgary Flames,59.6833,2,1.54
2021-10-21,Jacob Markstrom,away,Calgary Flames,Detroit Red Wings,60.0,0,2.15
2021-10-21,Sergei Bobrovsky,home,Florida Panthers,Colorado Avalanche,60.0,1,2.25
2021-10-21,Jonas Johansson,away,Colorado Avalanche,Florida Panthers,59.35,3,2.82
2021-10-21,Scott Wedgewood,home,New Jersey Devils,Washington Capitals,60.0,4,3.4
2021-10-21,Vitek Vanecek,away,Washington Capitals,New Jersey Devils,60.0,1,2.82
2021-10-21,Elvis Merzlikins,home,Columbus Blue Jackets,New York Islanders,61.8167,2,2.75
2021-10-21,Ilya Sorokin,away,New York Islanders,Columbus Blue Jackets,61.8167,3,2.48
2021-10-21,Kevin Lankinen,home,Chicago Blackhawks,Vancouver Canucks,58.3,3,2.46
2021-10-21,Thatcher Demko,away,Vancouver Canucks,Chicago Blackhawks,60.0,1,2.44
2021-10-21,Juuse Saros,home,Nashville Predators,New York Rangers,57.2,2,2.79
2021-10-21,Igor Shesterkin,away,New York Rangers,Nashville Predators,59.55,1,2.25
2021-10-21,Connor Hellebuyck,home,Winnipeg Jets,Anaheim Ducks,60.0,1,3.42
2021-10-21,John Gibson,away,Anaheim Ducks,Winnipeg Jets,58.5333,4,1.71
2021-10-21,Karel Vejmelka,home,Arizona Coyotes,Edmonton Oilers,60.0,5,2.27
2021-10-21,Mikko Koskinen,away,Edmonton Oilers,Arizona Coyotes,60.0,1,1.63
2021-10-22,Craig Anderson,home,Buffalo Sabres,Boston Bruins,58.9167,3,2.03
2021-10-22,Linus Ullmark,away,Boston Bruins,Buffalo Sabres,60.0,1,2.47
2021-10-22,Michael Hutchinson,home,Toronto Maple Leafs,San Jose Sharks,58.7167,4,3.02
2021-10-22,Adin Hill,away,San Jose Sharks,Toronto Maple Leafs,60.0,3,4.06
2021-10-22,Braden Holtby,home,Dallas Stars,Los Angeles Kings,64.1,2,3.27
2021-10-22,Jonathan Quick,away,Los Angeles Kings,Dallas Stars,64.25,3,2.11
2021-10-22,Robin Lehner,home,Vegas Golden Knights,Edmonton Oilers,58.6,4,3.62
2021-10-22,Mikko Koskinen,away,Edmonton Oilers,Vegas Golden Knights,59.95,3,2.86
2021-10-23,Jake Allen,home,Montreal Canadiens,Detroit Red Wings,60.0,1,2.44
2021-10-23,Thomas Greiss,away,Detroit Red Wings,Montreal Canadiens,29.9833,5,1.55
2021-10-23,Alex Nedeljkovic,away,Detroit Red Wings,Montreal Canadiens,29.5833,0,0.65
2021-10-23,Matt Murray,home,Ottawa Senators,New York Rangers,54.2833,1,2.37
2021-10-23,Anton Forsberg,home,Ottawa Senators,New York Rangers,4.2667,2,0.24
2021-10-23,Alexandar Georgiev,away,New York Rangers,Ottawa Senators,60.0,2,1.91
2021-10-23,Andrei Vasilevskiy,home,Tampa Bay Lightning,Colorado Avalanche,64.7,3,2.55
2021-10-23,Darcy Kuemper,away,Colorado Avalanche,Tampa Bay Lightning,65.0,3,2.95
2021-10-23,Nico Daws,home,New Jersey Devils,Buffalo Sabres,62.55,1,2.16
2021-10-23,Dustin Tokarski,away,Buffalo Sabres,New Jersey Devils,63.15,2,4.25
2021-10-23,Carter Hart,home,Philadelphia Flyers,Florida Panthers,58.5,3,3.55
2021-10-23,Sergei Bobrovsky,away,Florida Panthers,Philadelphia Flyers,59.95,2,3.02
2021-10-23,Tristan Jarry,home,Pittsburgh Penguins,Toronto Maple Leafs,59.9667,1,2.52
2021-10-23,Michael Hutchinson,away,Toronto Maple Leafs,Pittsburgh Penguins,20.0,2,1.24
2021-10-23,Jack Campbell,away,Toronto Maple Leafs,Pittsburgh Penguins,40.0,5,1.8
2021-10-23,Ilya Samsonov,home,Washington Capitals,Calgary Flames,42.7667,1,1.08
2021-10-23,Vitek Vanecek,home,Washington Capitals,Calgary Flames,20.0,3,1.09
2021-10-23,Dan Vladar,away,Calgary Flames,Washington Capitals,62.7667,3,2.6
2021-10-23,Joonas Korpisalo,home,Columbus Blue Jackets,Carolina Hurricanes,60.0,5,3.35
2021-10-23,Frederik Andersen,away,Carolina Hurricanes,Columbus Blue Jackets,59.9833,1,2.09
2021-10-23,Jordan Binnington,home,St Louis Blues,Los Angeles Kings,59.8833,3,3.15
2021-10-23,Cal Petersen,away,Los Angeles Kings,St Louis Blues,60.0,7,3.32
2021-10-23,Cam Talbot,home,Minnesota Wild,Anaheim Ducks,64.7833,3,1.39
2021-10-23,John Gibson,away,Anaheim Ducks,Minnesota Wild,64.7833,4,3.32
2021-10-23,Connor Hellebuyck,home,Winnipeg Jets,Nashville Predators,60.0,4,2.74
2021-10-23,Juuse Saros,away,Nashville Predators,Winnipeg Jets,56.8833,6,3.33
2021-10-23,Karel Vejmelka,home,Arizona Coyotes,New York Islanders,59.9667,3,1.29
2021-10-23,Ilya Sorokin,away,New York Islanders,Arizona Coyotes,60.0,0,1.89
2021-10-23,Philipp Grubauer,home,Seattle Kraken,Vancouver Canucks,58.9667,3,1.52
2021-10-23,Thatcher Demko,away,Vancouver Canucks,Seattle Kraken,59.6667,2,2.48
2021-10-24,Linus Ullmark,home,Boston Bruins,San Jose Sharks,60.0,3,1.64
2021-10-24,Adin Hill,away,San Jose Sharks,Boston Bruins,25.6833,4,0.7
2021-10-24,James Reimer,away,San Jose Sharks,Boston Bruins,32.7,0,1.4
2021-10-24,Marc-Andre Fleury,home,Chicago Blackhawks,Detroit Red Wings,60.0,6,3.13
2021-10-24,Alex Nedeljkovic,away,Detroit Red Wings,Chicago Blackhawks,60.0,3,4.9
2021-10-24,Kaapo Kahkonen,home,Minnesota Wild,Nashville Predators,55.95,5,3.38
2021-10-24,Connor Ingram,away,Nashville Predators,Minnesota Wild,59.4667,2,2.39
2021-10-24,Robin Lehner,home,Vegas Golden Knights,New York Islanders,57.65,2,3.34
2021-10-24,Ilya Sorokin,away,New York Islanders,Vegas Golden Knights,60.0,0,3.85
2021-10-25,Craig Anderson,home,Buffalo Sabres,Tampa Bay Lightning,59.9667,1,2.64
2021-10-25,Brian Elliott,away,Tampa Bay Lightning,Buffalo Sabres,57.0667,3,1.69
2021-10-25,Anton Forsberg,home,Ottawa Senators,Washington Capitals,15.7167,4,0.87
2021-10-25,Filip Gustavsson,home,Ottawa Senators,Washington Capitals,41.2,3,1.29
2021-10-25,Ilya Samsonov,away,Washington Capitals,Ottawa Senators,60.0,5,3.47
2021-10-25,Spencer Knight,home,Florida Panthers,Arizona Coyotes,60.0,3,1.26
2021-10-25,Carter Hutton,away,Arizona Coyotes,Florida Panthers,20.0,1,0.86
2021-10-25,Karel Vejmelka,away,Arizona Coyotes,Florida Panthers,39.1333,3,2.21
2021-10-25,Igor Shesterkin,home,New York Rangers,Calgary Flames,59.9167,5,2.72
2021-10-25,Jacob Markstrom,away,Calgary Flames,New York Rangers,59.5,1,3.08
2021-10-25,Frederik Andersen,home,Carolina Hurricanes,Toronto Maple Leafs,60.0,1,3.13
2021-10-25,Jack Campbell,away,Toronto Maple Leafs,Carolina Hurricanes,57.7667,3,3.01
2021-10-25,Elvis Merzlikins,home,Columbus Blue Jackets,Dallas Stars,60.0,1,2.86
2021-10-25,Braden Holtby,away,Dallas Stars,Columbus Blue Jackets,58.15,3,2.88
2021-10-25,Ville Husso,home,St Louis Blues,Los Angeles Kings,60.0,0,2.49
2021-10-25,Jonathan Quick,away,Los Angeles Kings,St Louis Blues,59.5833,2,2.1
2021-10-26,Scott Wedgewood,home,New Jersey Devils,Calgary Flames,44.4333,2,1.56
2021-10-26,Nico Daws,home,New Jersey Devils,Calgary Flames,12.1667,3,0.71
2021-10-26,Dan Vladar,away,Calgary Flames,New Jersey Devils,59.7667,3,2.06
2021-10-26,Tristan Jarry,home,Pittsburgh Penguins,Tampa Bay Lightning,58.45,3,2.14
2021-10-26,Andrei Vasilevskiy,away,Tampa Bay Lightning,Pittsburgh Penguins,60.0,1,2.69
2021-10-26,Juuse Saros,home,Nashville Predators,San Jose Sharks,60.0,1,2.56
2021-10-26,James Reimer,away,San Jose Sharks,Nashville Predators,58.7667,2,1.73
2021-10-26,Darcy Kuemper,home,Colorado Avalanche,Vegas Golden Knights,58.65,2,2.25
2021-10-26,Robin Lehner,away,Vegas Golden Knights,Colorado Avalanche,60.0,1,2.33
2021-10-26,Thatcher Demko,home,Vancouver Canucks,Minnesota Wild,58.7667,3,2.56
2021-10-26,Cam Talbot,away,Minnesota Wild,Vancouver Canucks,60.0,2,1.95
2021-10-26,John Gibson,home,Anaheim Ducks,Winnipeg Jets,59.1667,4,2.62
2021-10-26,Connor Hellebuyck,away,Winnipeg Jets,Anaheim Ducks,59.6333,3,3.37
2021-10-26,Philipp Grubauer,home,Seattle Kraken,Montreal Canadiens,60.0,1,1.63
2021-10-26,Jake Allen,away,Montreal Canadiens,Seattle Kraken,60.0,5,2.03
2021-10-27,Sergei Bobrovsky,home,Florida Panthers,Boston Bruins,60.0,1,3.4
2021-10-27,Linus Ullmark,away,Boston Bruins,Florida Panthers,57.2667,3,1.87
2021-10-27,Vitek Vanecek,home,Washington Capitals,Detroit Red Wings,61.2,3,1.55
2021-10-27,Thomas Greiss,away,Detroit Red Wings,Washington Capitals,61.6,2,3.23
2021-10-27,Kevin Lankinen,home,Chicago Blackhawks,Toronto Maple Leafs,61.9667,3,2.64
2021-10-27,Jack Campbell,away,Toronto Maple Leafs,Chicago Blackhawks,61.9667,2,2.61
2021-10-27,Anton Khudobin,home,Dallas Stars,Vegas Golden Knights,61.9833,3,1.21
2021-10-27,Laurent Brossoit,away,Vegas Golden Knights,Dallas Stars,60.7,2,3.27
2021-10-27,Mikko Koskinen,home,Edmonton Oilers,Philadelphia Flyers,58.1167,4,2.78
2021-10-27,Carter Hart,away,Philadelphia Flyers,Edmonton Oilers,60.0,3,2.98
2021-10-28,Andrei Vasilevskiy,home,Tampa Bay Lightning,Arizona Coyotes,60.0,1,1.99
2021-10-28,Ivan Prosvetov,away,Arizona Coyotes,Tampa Bay Lightning,60.0,5,2.72
2021-10-28,Casey DeSmith,home,Pittsburgh Penguins,Calgary Flames,60.0,4,2.62
2021-10-28,Jacob Markstrom,away,Calgary Flames,Pittsburgh Penguins,60.0,0,3.75
2021-10-28,Frederik Andersen,home,Carolina Hurricanes,Boston Bruins,60.0,0,3.5
2021-10-28,Jeremy Swayman,away,Boston Bruins,Carolina Hurricanes,58.0333,2,2.69
2021-10-28,Jordan Binnington,home,St Louis Blues,Colorado Avalanche,58.1833,4,3.06
2021-10-28,Darcy Kuemper,away,Colorado Avalanche,St Louis Blues,60.0,3,1.15
2021-10-28,Jaroslav Halak,home,Vancouver Canucks,Philadelphia Flyers,58.3167,2,2.18
2021-10-28,Martin Jones,away,Philadelphia Flyers,Vancouver Canucks,59.2167,1,2.77
2021-10-28,Anthony Stolarz,home,Anaheim Ducks,Buffalo Sabres,64.2667,4,2.54
2021-10-28,Craig Anderson,away,Buffalo Sabres,Anaheim Ducks,64.2667,3,2.95
2021-10-28,Jonathan Quick,home,Los Angeles Kings,Winnipeg Jets,58.25,3,3.01
2021-10-28,Eric Comrie,away,Winnipeg Jets,Los Angeles Kings,60.0,2,2.57
2021-10-28,Adin Hill,home,San Jose Sharks,Montreal Canadiens,58.7333,3,2.57
2021-10-28,Jake Allen,away,Montreal Canadiens,San Jose Sharks,60.0,0,3.83
2021-10-28,Philipp Grubauer,home,Seattle Kraken,Minnesota Wild,60.0,1,2.34
2021-10-28,Cam Talbot,away,Minnesota Wild,Seattle Kraken,58.3333,2,2.79
2021-10-29,Alex Nedeljkovic,home,Detroit Red Wings,Florida Panthers,63.2167,3,2.95
2021-10-29,Sergei Bobrovsky,away,Florida Panthers,Detroit Red Wings,63.4833,2,3.38
2021-10-29,Igor Shesterkin,home,New York Rangers,Columbus Blue Jackets,60.0,0,2.58
2021-10-29,Elvis Merzlikins,away,Columbus Blue Jackets,New York Rangers,59.6,4,3.54
2021-10-29,Ilya Samsonov,home,Washington Capitals,Arizona Coyotes,59.35,0,1.23
2021-10-29,Karel Vejmelka,away,Arizona Coyotes,Washington Capitals,59.0167,1,2.49
2021-10-29,Antti Raanta,home,Carolina Hurricanes,Chicago Blackhawks,60.0,3,3.05
2021-10-29,Kevin Lankinen,away,Chicago Blackhawks,Carolina Hurricanes,60.0,6,2.35
2021-10-29,Braden Holtby,home,Dallas Stars,Ottawa Senators,56.5333,4,1.95
2021-10-29,Filip Gustavsson,away,Ottawa Senators,Dallas Stars,60.0,1,3.59
2021-10-29,Robin Lehner,home,Vegas Golden Knights,Anaheim Ducks,65.0,4,4.61
2021-10-29,John Gibson,away,Anaheim Ducks,Vegas Golden Knights,65.0,4,3.77
2021-10-30,Linus Ullmark,home,Boston Bruins,Florida Panthers,65.0,2,1.52
2021-10-30,Spencer Knight,away,Florida Panthers,Boston Bruins,65.0,2,2.79
2021-10-30,Petr Mrazek,home,Toronto Maple Leafs,Detroit Red Wings,60.0,4,1.98
2021-10-30,Thomas Greiss,away,Detroit Red Wings,Toronto Maple Leafs,58.5333,5,3.48
2021-10-30,Tristan Jarry,home,Pittsburgh Penguins,New Jersey Devils,58.9333,4,2.56
2021-10-30,Jonathan Bernier,away,New Jersey Devils,Pittsburgh Penguins,60.0,2,2.89
2021-10-30,Jordan Binnington,home,St Louis Blues,Chicago Blackhawks,59.7,0,2.51
2021-10-30,Marc-Andre Fleury,away,Chicago Blackhawks,St Louis Blues,58.4,1,3.97
2021-10-30,Juuse Saros,home,Nashville Predators,New York Islanders,64.3,2,1.74
2021-10-30,Ilya Sorokin,away,New York Islanders,Nashville Predators,65.0,2,2.51
2021-10-30,Darcy Kuemper,home,Colorado Avalanche,Minnesota Wild,59.9667,1,1.94
2021-10-30,Cam Talbot,away,Minnesota Wild,Colorado Avalanche,59.45,3,2.51
2021-10-30,Jacob Markstrom,home,Calgary Flames,Philadelphia Flyers,59.95,0,1.62
2021-10-30,Carter Hart,away,Philadelphia Flyers,Calgary Flames,59.1,3,2.81
2021-10-30,Thatcher Demko,home,Vancouver Canucks,Edmonton Oilers,55.8667,2,3.53
2021-10-30,Mikko Koskinen,away,Edmonton Oilers,Vancouver Canucks,60.0,1,2.65
2021-10-30,Cal Petersen,home,Los Angeles Kings,Montreal Canadiens,60.0,2,2.63
2021-10-30,Jake Allen,away,Montreal Canadiens,Los Angeles Kings,60.0,5,3.27
2021-10-30,James Reimer,home,San Jose Sharks,Winnipeg Jets,61.1167,1,3.09
2021-10-30,Connor Hellebuyck,away,Winnipeg Jets,San Jose Sharks,61.1167,2,2.96
2021-10-31,Scott Wedgewood,home,New Jersey Devils,Columbus Blue Jackets,65.0,3,2.42
2021-10-31,Joonas Korpisalo,away,Columbus Blue Jackets,New Jersey Devils,65.0,3,3.39
2021-10-31,Frederik Andersen,home,Carolina Hurricanes,Arizona Coyotes,60.0,1,1.95
2021-10-31,Karel Vejmelka,away,Arizona Coyotes,Carolina Hurricanes,58.4167,2,4.36
2021-10-31,John Gibson,home,Anaheim Ducks,Montreal Canadiens,59.7667,2,1.97
2021-10-31,Sam Montembeault,away,Montreal Canadiens,Anaheim Ducks,58.2333,3,1.75
2021-10-31,Jonathan Quick,home,Los Angeles Kings,Buffalo Sabres,59.3833,2,2.12
2021-10-31,Dustin Tokarski,away,Buffalo Sabres,Los Angeles Kings,59.4167,3,4.17
2021-10-31,Philipp Grubauer,home,Seattle Kraken,New York Rangers,58.3167,2,1.09
2021-10-31,Igor Shesterkin,away,New York Rangers,Seattle Kraken,60.0,1,3.09
2021-11-01,Andrei Vasilevskiy,home,Tampa Bay Lightning,Washington Capitals,60.0,2,2.47
2021-11-01,Vitek Vanecek,away,Washington Capitals,Tampa Bay Lightning,58.75,3,2.24
2021-11-01,Marc-Andre Fleury,home,Chicago Blackhawks,Ottawa Senators,59.8833,1,2.56
2021-11-01,Matt Murray,away,Ottawa Senators,Chicago Blackhawks,60.0,5,1.93
2021-11-01,Mikko Koskinen,home,Edmonton Oilers,Seattle Kraken,59.5833,2,2.97
2021-11-01,Joey Daccord,away,Seattle Kraken,Edmonton Oilers,59.8333,5,3.18
2021-11-02,Jack Campbell,home,Toronto Maple Leafs,Vegas Golden Knights,60.0,0,1.83
2021-11-02,Robin Lehner,away,Vegas Golden Knights,Toronto Maple Leafs,60.0,4,3.21
2021-11-02,Jake Allen,home,Montreal Canadiens,Detroit Red Wings,60.0,0,1.93
2021-11-02,Alex Nedeljkovic,away,Detroit Red Wings,Montreal Canadiens,58.1833,2,3.99
2021-11-02,Carter Hart,home,Philadelphia Flyers,Arizona Coyotes,60.0,0,2.13
2021-11-02,Karel Vejmelka,away,Arizona Coyotes,Philadelphia Flyers,59.75,2,3.01
2021-11-02,Cam Talbot,home,Minnesota Wild,Ottawa Senators,62.0333,4,2.38
