,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season,Score
14,14,14,14,14,2007-10-04,Martin Gerber,home,Ottawa Senators,Toronto Maple Leafs,59.85,2,3.39,20072008,
15,15,15,15,15,2007-10-04,Vesa Toskala,away,Toronto Maple Leafs,Ottawa Senators,58.6833,3,3.44,20072008,
16,16,16,16,16,2007-10-04,Johan Holmqvist,home,Tampa Bay Lightning,New Jersey Devils,59.6333,1,2.24,20072008,
17,17,17,17,17,2007-10-04,Martin Brodeur,away,New Jersey Devils,Tampa Bay Lightning,59.65,2,1.79,20072008,
18,18,18,18,18,2007-10-04,Chris Mason,home,Nashville Predators,Colorado Avalanche,60.0,0,2.63,20072008,
19,19,19,19,19,2007-10-04,Peter Budaj,away,Colorado Avalanche,Nashville Predators,43.9833,4,1.44,20072008,
20,20,20,20,20,2007-10-04,Tyler Weiman,away,Colorado Avalanche,Nashville Predators,15.7667,0,1.38,20072008,
21,21,21,21,21,2007-10-04,Niklas Backstrom,home,Minnesota Wild,Chicago Blackhawks,60.0,0,1.44,20072008,
22,22,22,22,22,2007-10-04,Nikolai Khabibulin,away,Chicago Blackhawks,Minnesota Wild,59.3,1,2.12,20072008,
23,23,23,23,23,2007-10-04,Miikka Kiprusoff,home,Calgary Flames,Philadelphia Flyers,59.6,3,2.72,20072008,
24,24,24,24,24,2007-10-04,Martin Biron,away,Philadelphia Flyers,Calgary Flames,60.0,2,3.26,20072008,
25,25,25,25,25,2007-10-04,Dwayne Roloson,home,Edmonton Oilers,San Jose Sharks,64.7,2,2.48,20072008,
26,26,26,26,26,2007-10-04,Evgeni Nabokov,away,San Jose Sharks,Edmonton Oilers,64.4,2,2.46,20072008,
27,27,27,27,27,2007-10-04,Mikael Tellqvist,home,Phoenix Coyotes,St Louis Blues,59.65,2,2.17,20072008,
28,28,28,28,28,2007-10-04,Manny Legace,away,St Louis Blues,Phoenix Coyotes,58.4,3,3.55,20072008,
29,29,29,29,29,2007-10-05,Cam Ward,home,Carolina Hurricanes,Pittsburgh Penguins,59.9833,1,3.79,20072008,
30,30,30,30,30,2007-10-05,Marc-Andre Fleury,away,Pittsburgh Penguins,Carolina Hurricanes,39.85,4,2.63,20072008,
31,31,31,31,31,2007-10-05,Dany Sabourin,away,Pittsburgh Penguins,Carolina Hurricanes,20.0,0,0.82,20072008,
32,32,32,32,32,2007-10-05,Pascal Leclaire,home,Columbus Blue Jackets,Anaheim Ducks,59.9333,0,2.57,20072008,
33,33,33,33,33,2007-10-05,Ilya Bryzgalov,away,Anaheim Ducks,Columbus Blue Jackets,60.0,4,3.11,20072008,
34,34,34,34,34,2007-10-05,Ryan Miller,home,Buffalo Sabres,New York Islanders,58.7,6,2.74,20072008,
35,35,35,35,35,2007-10-05,Rick DiPietro,away,New York Islanders,Buffalo Sabres,59.8167,4,2.07,20072008,
36,36,36,36,36,2007-10-05,Kari Lehtonen,home,Atlanta Thrashers,Washington Capitals,58.5167,3,2.61,20072008,
37,37,37,37,37,2007-10-05,Brent Johnson,away,Washington Capitals,Atlanta Thrashers,60.0,1,2.56,20072008,
38,38,38,38,38,2007-10-05,Marty Turco,home,Dallas Stars,Boston Bruins,60.0,1,2.17,20072008,
39,39,39,39,39,2007-10-05,Manny Fernandez,away,Boston Bruins,Dallas Stars,59.8833,4,1.26,20072008,
40,40,40,40,40,2007-10-05,Roberto Luongo,home,Vancouver Canucks,San Jose Sharks,57.95,3,2.86,20072008,
41,41,41,41,41,2007-10-05,Evgeni Nabokov,away,San Jose Sharks,Vancouver Canucks,58.8667,1,2.12,20072008,
42,42,42,42,42,2007-10-06,Mathieu Garon,home,Edmonton Oilers,Philadelphia Flyers,60.0,3,2.38,20072008,
43,43,43,43,43,2007-10-06,Martin Biron,away,Philadelphia Flyers,Edmonton Oilers,58.95,4,2.71,20072008,
44,44,44,44,44,2007-10-06,Vesa Toskala,home,Toronto Maple Leafs,Montreal Canadiens,63.25,3,3.01,20072008,
45,45,45,45,45,2007-10-06,Cristobal Huet,away,Montreal Canadiens,Toronto Maple Leafs,63.4333,4,2.14,20072008,
46,46,46,46,46,2007-10-06,Martin Gerber,home,Ottawa Senators,New York Rangers,60.0,0,2.59,20072008,
47,47,47,47,47,2007-10-06,Henrik Lundqvist,away,New York Rangers,Ottawa Senators,58.9,2,3.06,20072008,
48,48,48,48,48,2007-10-06,Rick DiPietro,home,New York Islanders,Buffalo Sabres,60.0,2,3.54,20072008,
49,49,49,49,49,2007-10-06,Ryan Miller,away,Buffalo Sabres,New York Islanders,59.1167,3,1.99,20072008,
50,50,50,50,50,2007-10-06,Olie Kolzig,home,Washington Capitals,Carolina Hurricanes,60.0,0,2.02,20072008,
51,51,51,51,51,2007-10-06,John Grahame,away,Carolina Hurricanes,Washington Capitals,58.65,2,2.73,20072008,
52,52,52,52,52,2007-10-06,Tomas Vokoun,home,Florida Panthers,New Jersey Devils,58.5667,4,2.04,20072008,
53,53,53,53,53,2007-10-06,Kevin Weekes,away,New Jersey Devils,Florida Panthers,59.9833,1,2.57,20072008,
54,54,54,54,54,2007-10-06,Marc-Andre Fleury,home,Pittsburgh Penguins,Anaheim Ducks,59.9333,4,1.96,20072008,
55,55,55,55,55,2007-10-06,Jonas Hiller,away,Anaheim Ducks,Pittsburgh Penguins,59.15,5,3.39,20072008,
56,56,56,56,56,2007-10-06,Johan Holmqvist,home,Tampa Bay Lightning,Atlanta Thrashers,59.95,2,1.07,20072008,
57,57,57,57,57,2007-10-06,Johan Hedberg,away,Atlanta Thrashers,Tampa Bay Lightning,60.0,5,2.93,20072008,
58,58,58,58,58,2007-10-06,Chris Mason,home,Nashville Predators,Dallas Stars,59.5667,1,3.71,20072008,
59,59,59,59,59,2007-10-06,Mike Smith,away,Dallas Stars,Nashville Predators,59.75,4,1.81,20072008,
60,60,60,60,60,2007-10-06,Mikael Tellqvist,home,Phoenix Coyotes,Boston Bruins,58.8833,3,1.71,20072008,
61,61,61,61,61,2007-10-06,Tim Thomas,away,Boston Bruins,Phoenix Coyotes,60.0,1,2.86,20072008,
62,62,62,62,62,2007-10-06,Jonathan Bernier,home,Los Angeles Kings,St Louis Blues,59.45,4,3.73,20072008,
63,63,63,63,63,2007-10-06,Manny Legace,away,St Louis Blues,Los Angeles Kings,32.5833,2,1.04,20072008,
64,64,64,64,64,2007-10-06,Hannu Toivonen,away,St Louis Blues,Los Angeles Kings,27.4167,1,1.04,20072008,
65,65,65,65,65,2007-10-07,Peter Budaj,home,Colorado Avalanche,San Jose Sharks,60.0,2,2.62,20072008,
66,66,66,66,66,2007-10-07,Evgeni Nabokov,away,San Jose Sharks,Colorado Avalanche,48.1,6,2.39,20072008,
67,67,67,67,67,2007-10-07,Dimitri Patzold,away,San Jose Sharks,Colorado Avalanche,11.7833,0,0.18,20072008,
68,68,68,68,68,2007-10-08,Rick DiPietro,home,New York Islanders,Washington Capitals,59.1167,2,1.17,20072008,
69,69,69,69,69,2007-10-08,Olie Kolzig,away,Washington Capitals,New York Islanders,60.0,1,2.17,20072008,
70,70,70,70,70,2007-10-08,Martin Gerber,home,Ottawa Senators,New Jersey Devils,60.0,2,2.51,20072008,
71,71,71,71,71,2007-10-08,Martin Brodeur,away,New Jersey Devils,Ottawa Senators,59.5833,3,2.92,20072008,
72,72,72,72,72,2007-10-08,Dominik Hasek,home,Detroit Red Wings,Edmonton Oilers,59.9333,2,1.3,20072008,
73,73,73,73,73,2007-10-08,Dwayne Roloson,away,Edmonton Oilers,Detroit Red Wings,58.9667,3,3.7,20072008,
74,74,74,74,74,2007-10-09,Vesa Toskala,home,Toronto Maple Leafs,Carolina Hurricanes,60.0,7,4.5,20072008,
75,75,75,75,75,2007-10-09,Cam Ward,away,Carolina Hurricanes,Toronto Maple Leafs,60.0,1,2.12,20072008,
76,76,76,76,76,2007-10-10,Rick DiPietro,home,New York Islanders,New York Rangers,60.0,1,2.39,20072008,
77,77,77,77,77,2007-10-10,Henrik Lundqvist,away,New York Rangers,New York Islanders,58.9667,2,2.6,20072008,
78,78,78,78,78,2007-10-10,Kari Lehtonen,home,Atlanta Thrashers,Ottawa Senators,58.7,3,3.45,20072008,
79,79,79,79,79,2007-10-10,Brian Elliott,away,Ottawa Senators,Atlanta Thrashers,59.7,1,3.06,20072008,
80,80,80,80,80,2007-10-10,Pascal Leclaire,home,Columbus Blue Jackets,Phoenix Coyotes,60.0,0,2.21,20072008,
81,81,81,81,81,2007-10-10,David Aebischer,away,Phoenix Coyotes,Columbus Blue Jackets,61.5667,3,2.25,20072008,
82,82,82,82,82,2007-10-10,Marc-Andre Fleury,home,Pittsburgh Penguins,Montreal Canadiens,58.9833,3,2.52,20072008,
83,83,83,83,83,2007-10-10,Carey Price,away,Montreal Canadiens,Pittsburgh Penguins,60.0,2,3.94,20072008,
84,84,84,84,84,2007-10-10,Johan Holmqvist,home,Tampa Bay Lightning,Florida Panthers,59.7833,1,2.0,20072008,
85,85,85,85,85,2007-10-10,Craig Anderson,away,Florida Panthers,Tampa Bay Lightning,58.9333,2,2.48,20072008,
86,86,86,86,86,2007-10-10,Chris Osgood,home,Detroit Red Wings,Calgary Flames,59.65,2,1.62,20072008,
87,87,87,87,87,2007-10-10,Miikka Kiprusoff,away,Calgary Flames,Detroit Red Wings,58.9833,4,2.28,20072008,
88,88,88,88,88,2007-10-10,Niklas Backstrom,home,Minnesota Wild,Edmonton Oilers,59.8,0,1.87,20072008,
89,89,89,89,89,2007-10-10,Dwayne Roloson,away,Edmonton Oilers,Minnesota Wild,57.75,2,1.57,20072008,
90,90,90,90,90,2007-10-10,Nikolai Khabibulin,home,Chicago Blackhawks,San Jose Sharks,38.6167,2,2.93,20072008,
91,91,91,91,91,2007-10-10,Evgeni Nabokov,away,San Jose Sharks,Chicago Blackhawks,59.4833,1,1.48,20072008,
92,92,92,92,92,2007-10-10,Manny Legace,home,St Louis Blues,Nashville Predators,60.0,1,1.43,20072008,
93,93,93,93,93,2007-10-10,Chris Mason,away,Nashville Predators,St Louis Blues,31.1667,4,1.85,20072008,
94,94,94,94,94,2007-10-10,Dan Ellis,away,Nashville Predators,St Louis Blues,28.6167,0,1.37,20072008,
95,95,95,95,95,2007-10-10,Marty Turco,home,Dallas Stars,Los Angeles Kings,59.9667,1,3.37,20072008,
96,96,96,96,96,2007-10-10,Jason LaBarbera,away,Los Angeles Kings,Dallas Stars,59.8833,5,2.16,20072008,
97,97,97,97,97,2007-10-10,Roberto Luongo,home,Vancouver Canucks,Philadelphia Flyers,19.9,4,1.71,20072008,
98,98,98,98,98,2007-10-10,Curtis Sanford,home,Vancouver Canucks,Philadelphia Flyers,39.0667,4,1.82,20072008,
99,99,99,99,99,2007-10-10,Martin Biron,away,Philadelphia Flyers,Vancouver Canucks,60.0,2,2.2,20072008,
100,100,100,100,100,2007-10-10,Ilya Bryzgalov,home,Anaheim Ducks,Boston Bruins,40.0,1,1.1,20072008,
101,101,101,101,101,2007-10-10,Tim Thomas,away,Boston Bruins,Anaheim Ducks,58.7833,2,1.73,20072008,
102,102,102,102,102,2007-10-11,Ryan Miller,home,Buffalo Sabres,Atlanta Thrashers,59.7667,0,1.5,20072008,
103,103,103,103,103,2007-10-11,Johan Hedberg,away,Atlanta Thrashers,Buffalo Sabres,20.0,1,0.72,20072008,
104,104,104,104,104,2007-10-11,Kari Lehtonen,away,Atlanta Thrashers,Buffalo Sabres,39.7167,5,2.57,20072008,
105,105,105,105,105,2007-10-11,Andrew Raycroft,home,Toronto Maple Leafs,New York Islanders,60.0,1,2.2,20072008,
106,106,106,106,106,2007-10-11,Wade Dubielewicz,away,New York Islanders,Toronto Maple Leafs,60.0,8,4.26,20072008,
107,107,107,107,107,2007-10-11,Martin Gerber,home,Ottawa Senators,Carolina Hurricanes,59.6667,4,3.09,20072008,
108,108,108,108,108,2007-10-11,Cam Ward,away,Carolina Hurricanes,Ottawa Senators,59.85,3,3.17,20072008,
109,109,109,109,109,2007-10-11,Tomas Vokoun,home,Florida Panthers,New Jersey Devils,60.0,0,2.15,20072008,
110,110,110,110,110,2007-10-11,Martin Brodeur,away,New Jersey Devils,Florida Panthers,59.9667,3,1.88,20072008,
111,111,111,111,111,2007-10-11,Chris Mason,home,Nashville Predators,Phoenix Coyotes,57.8667,5,1.8,20072008,
112,112,112,112,112,2007-10-11,Alex Auld,away,Phoenix Coyotes,Nashville Predators,59.5833,3,2.86,20072008,
113,113,113,113,113,2007-10-12,Henrik Lundqvist,home,New York Rangers,Washington Capitals,59.9833,1,2.43,20072008,
114,114,114,114,114,2007-10-12,Olie Kolzig,away,Washington Capitals,New York Rangers,58.0167,3,4.48,20072008,
115,115,115,115,115,2007-10-12,Dominik Hasek,home,Detroit Red Wings,Chicago Blackhawks,59.1333,3,4.28,20072008,
116,116,116,116,116,2007-10-12,Nikolai Khabibulin,away,Chicago Blackhawks,Detroit Red Wings,60.0,2,2.2,20072008,
117,117,117,117,117,2007-10-12,Manny Legace,home,St Louis Blues,Colorado Avalanche,60.0,1,2.38,20072008,
118,118,118,118,118,2007-10-12,Jose Theodore,away,Colorado Avalanche,St Louis Blues,60.0,4,2.9,20072008,
119,119,119,119,119,2007-10-12,Marty Turco,home,Dallas Stars,Calgary Flames,63.3333,3,1.71,20072008,
120,120,120,120,120,2007-10-12,Miikka Kiprusoff,away,Calgary Flames,Dallas Stars,63.3,2,1.83,20072008,
121,121,121,121,121,2007-10-12,Mathieu Garon,home,Edmonton Oilers,Vancouver Canucks,23.2,3,0.78,20072008,
122,122,122,122,122,2007-10-12,Dwayne Roloson,home,Edmonton Oilers,Vancouver Canucks,36.7,2,1.18,20072008,
123,123,123,123,123,2007-10-12,Roberto Luongo,away,Vancouver Canucks,Edmonton Oilers,60.0,2,2.22,20072008,
124,124,124,124,124,2007-10-12,Jonathan Bernier,home,Los Angeles Kings,Boston Bruins,59.05,7,3.34,20072008,
125,125,125,125,125,2007-10-12,Manny Fernandez,away,Boston Bruins,Los Angeles Kings,59.8833,6,3.81,20072008,
126,126,126,126,126,2007-10-13,Ryan Miller,home,Buffalo Sabres,Washington Capitals,59.6667,3,2.03,20072008,
127,127,127,127,127,2007-10-13,Brent Johnson,away,Washington Capitals,Buffalo Sabres,60.0,7,4.13,20072008,
128,128,128,128,128,2007-10-13,Vesa Toskala,home,Toronto Maple Leafs,Pittsburgh Penguins,59.0,5,5.24,20072008,
129,129,129,129,129,2007-10-13,Marc-Andre Fleury,away,Pittsburgh Penguins,Toronto Maple Leafs,44.8,2,2.27,20072008,
130,130,130,130,130,2007-10-13,Dany Sabourin,away,Pittsburgh Penguins,Toronto Maple Leafs,15.1167,2,0.85,20072008,
131,131,131,131,131,2007-10-13,Cristobal Huet,home,Montreal Canadiens,Carolina Hurricanes,59.2167,2,3.42,20072008,
132,132,132,132,132,2007-10-13,Cam Ward,away,Carolina Hurricanes,Montreal Canadiens,60.0,1,2.34,20072008,
133,133,133,133,133,2007-10-13,Henrik Lundqvist,home,New York Rangers,Ottawa Senators,58.9167,3,3.18,20072008,
134,134,134,134,134,2007-10-13,Martin Gerber,away,Ottawa Senators,New York Rangers,60.0,1,5.17,20072008,
135,135,135,135,135,2007-10-13,Martin Biron,home,Philadelphia Flyers,New York Islanders,60.0,1,0.0,20072008,
136,136,136,136,136,2007-10-13,Rick DiPietro,away,New York Islanders,Philadelphia Flyers,58.9,2,0.0,20072008,
137,137,137,137,137,2007-10-13,Kari Lehtonen,home,Atlanta Thrashers,New Jersey Devils,59.7333,6,3.34,20072008,
138,138,138,138,138,2007-10-13,Martin Brodeur,away,New Jersey Devils,Atlanta Thrashers,60.0,5,1.64,20072008,
139,139,139,139,139,2007-10-13,Tomas Vokoun,home,Florida Panthers,Tampa Bay Lightning,59.85,4,3.1,20072008,
140,140,140,140,140,2007-10-13,Marc Denis,away,Tampa Bay Lightning,Florida Panthers,35.55,2,1.56,20072008,
141,141,141,141,141,2007-10-13,Johan Holmqvist,away,Tampa Bay Lightning,Florida Panthers,22.15,4,1.3,20072008,
142,142,142,142,142,2007-10-13,Chris Mason,home,Nashville Predators,Calgary Flames,47.6,6,2.12,20072008,
143,143,143,143,143,2007-10-13,Dan Ellis,home,Nashville Predators,Calgary Flames,12.3833,1,0.32,20072008,
144,144,144,144,144,2007-10-13,Miikka Kiprusoff,away,Calgary Flames,Nashville Predators,59.5333,4,1.89,20072008,
145,145,145,145,145,2007-10-13,Patrick Lalime,home,Chicago Blackhawks,Dallas Stars,59.5833,1,1.67,20072008,
146,146,146,146,146,2007-10-13,Tobias Stephan,away,Dallas Stars,Chicago Blackhawks,60.6333,2,3.19,20072008,
147,147,147,147,147,2007-10-13,Peter Budaj,home,Colorado Avalanche,Columbus Blue Jackets,59.9333,1,2.16,20072008,
148,148,148,148,148,2007-10-13,Pascal Leclaire,away,Columbus Blue Jackets,Colorado Avalanche,59.7667,5,3.04,20072008,
149,149,149,149,149,2007-10-13,Roberto Luongo,home,Vancouver Canucks,Edmonton Oilers,59.9833,1,2.86,20072008,
150,150,150,150,150,2007-10-13,Dwayne Roloson,away,Edmonton Oilers,Vancouver Canucks,59.9,4,1.96,20072008,
151,151,151,151,151,2007-10-13,Alex Auld,home,Phoenix Coyotes,Minnesota Wild,59.55,3,1.95,20072008,
152,152,152,152,152,2007-10-13,Niklas Backstrom,away,Minnesota Wild,Phoenix Coyotes,60.0,2,2.43,20072008,
153,153,153,153,153,2007-10-13,Evgeni Nabokov,home,San Jose Sharks,Boston Bruins,59.4833,2,1.8,20072008,
154,154,154,154,154,2007-10-13,Tim Thomas,away,Boston Bruins,San Jose Sharks,60.0,1,3.96,20072008,
155,155,155,155,155,2007-10-14,Jean-Sebastien Giguere,home,Anaheim Ducks,Minnesota Wild,59.8333,2,1.26,20072008,
156,156,156,156,156,2007-10-14,Josh Harding,away,Minnesota Wild,Anaheim Ducks,59.9667,0,3.0,20072008,
157,157,157,157,157,2007-10-14,Jonathan Bernier,home,Los Angeles Kings,Detroit Red Wings,59.9,4,3.78,20072008,
158,158,158,158,158,2007-10-14,Chris Osgood,away,Detroit Red Wings,Los Angeles Kings,60.0,1,2.66,20072008,
159,159,159,159,159,2007-10-15,Jocelyn Thibault,home,Buffalo Sabres,Toronto Maple Leafs,64.9,4,2.7,20072008,
160,160,160,160,160,2007-10-15,Andrew Raycroft,away,Toronto Maple Leafs,Buffalo Sabres,64.9167,5,4.29,20072008,
161,161,161,161,161,2007-10-15,Roberto Luongo,home,Vancouver Canucks,San Jose Sharks,60.0,4,3.31,20072008,
162,162,162,162,162,2007-10-15,Evgeni Nabokov,away,San Jose Sharks,Vancouver Canucks,39.5167,2,3.35,20072008,
163,163,163,163,163,2007-10-15,Ilya Bryzgalov,home,Anaheim Ducks,Detroit Red Wings,58.4667,3,3.47,20072008,
164,164,164,164,164,2007-10-15,Dominik Hasek,away,Detroit Red Wings,Anaheim Ducks,57.5333,5,2.83,20072008,
165,165,165,165,165,2007-10-16,Martin Biron,home,Philadelphia Flyers,Atlanta Thrashers,60.0,0,1.65,20072008,
166,166,166,166,166,2007-10-16,Johan Hedberg,away,Atlanta Thrashers,Philadelphia Flyers,60.0,4,2.53,20072008,
167,167,167,167,167,2007-10-16,Cristobal Huet,home,Montreal Canadiens,Florida Panthers,65.0,1,2.15,20072008,
168,168,168,168,168,2007-10-16,Tomas Vokoun,away,Florida Panthers,Montreal Canadiens,64.0167,1,4.03,20072008,
169,169,169,169,169,2007-10-16,Peter Budaj,home,Colorado Avalanche,Calgary Flames,22.85,4,1.12,20072008,
170,170,170,170,170,2007-10-16,Jose Theodore,home,Colorado Avalanche,Calgary Flames,42.15,0,2.12,20072008,
171,171,171,171,171,2007-10-16,Miikka Kiprusoff,away,Calgary Flames,Colorado Avalanche,65.0,4,2.22,20072008,
172,172,172,172,172,2007-10-16,Jean-Sebastien Aubin,home,Los Angeles Kings,Minnesota Wild,64.9167,3,2.6,20072008,
173,173,173,173,173,2007-10-16,Niklas Backstrom,away,Minnesota Wild,Los Angeles Kings,65.0,3,2.79,20072008,
174,174,174,174,174,2007-10-17,Fredrik Norrena,home,Columbus Blue Jackets,Dallas Stars,64.55,2,1.79,20072008,
175,175,175,175,175,2007-10-17,Mike Smith,away,Dallas Stars,Columbus Blue Jackets,64.8833,2,2.85,20072008,
176,176,176,176,176,2007-10-17,Marc-Andre Fleury,home,Pittsburgh Penguins,New Jersey Devils,59.0833,5,3.52,20072008,
177,177,177,177,177,2007-10-17,Martin Brodeur,away,New Jersey Devils,Pittsburgh Penguins,60.0,4,2.58,20072008,
178,178,178,178,178,2007-10-17,Nikolai Khabibulin,home,Chicago Blackhawks,St Louis Blues,59.55,3,2.16,20072008,
179,179,179,179,179,2007-10-17,Manny Legace,away,St Louis Blues,Chicago Blackhawks,60.0,1,2.45,20072008,
180,180,180,180,180,2007-10-17,Jean-Sebastien Giguere,home,Anaheim Ducks,Nashville Predators,60.0,1,2.29,20072008,
181,181,181,181,181,2007-10-17,Chris Mason,away,Nashville Predators,Anaheim Ducks,58.1167,3,1.9,20072008,
182,182,182,182,182,2007-10-18,Tim Thomas,home,Boston Bruins,Tampa Bay Lightning,60.0,1,1.79,20072008,
183,183,183,183,183,2007-10-18,Johan Holmqvist,away,Tampa Bay Lightning,Boston Bruins,60.0,4,0.81,20072008,
184,184,184,184,184,2007-10-18,Martin Biron,home,Philadelphia Flyers,New Jersey Devils,60.0,0,2.39,20072008,
185,185,185,185,185,2007-10-18,Martin Brodeur,away,New Jersey Devils,Philadelphia Flyers,59.7667,4,1.51,20072008,
186,186,186,186,186,2007-10-18,Olie Kolzig,home,Washington Capitals,New York Islanders,59.9833,5,2.14,20072008,
187,187,187,187,187,2007-10-18,Rick DiPietro,away,New York Islanders,Washington Capitals,59.8167,2,2.68,20072008,
188,188,188,188,188,2007-10-18,Johan Hedberg,home,Atlanta Thrashers,New York Rangers,48.4667,3,2.7,20072008,
189,189,189,189,189,2007-10-18,Kari Lehtonen,home,Atlanta Thrashers,New York Rangers,11.5,0,0.85,20072008,
190,190,190,190,190,2007-10-18,Henrik Lundqvist,away,New York Rangers,Atlanta Thrashers,59.3167,5,2.96,20072008,
191,191,191,191,191,2007-10-18,Vesa Toskala,home,Toronto Maple Leafs,Florida Panthers,60.0,2,2.62,20072008,
192,192,192,192,192,2007-10-18,Craig Anderson,away,Florida Panthers,Toronto Maple Leafs,59.1833,3,3.3,20072008,
193,193,193,193,193,2007-10-18,Martin Gerber,home,Ottawa Senators,Montreal Canadiens,60.0,3,2.76,20072008,
194,194,194,194,194,2007-10-18,Carey Price,away,Montreal Canadiens,Ottawa Senators,59.1333,4,3.52,20072008,
195,195,195,195,195,2007-10-18,Miikka Kiprusoff,home,Calgary Flames,Los Angeles Kings,60.0,3,2.24,20072008,
196,196,196,196,196,2007-10-18,Jason LaBarbera,away,Los Angeles Kings,Calgary Flames,18.5333,0,0.82,20072008,
197,197,197,197,197,2007-10-18,Jean-Sebastien Aubin,away,Los Angeles Kings,Calgary Flames,39.75,4,1.85,20072008,
198,198,198,198,198,2007-10-18,Alex Auld,home,Phoenix Coyotes,Edmonton Oilers,59.6833,3,1.5,20072008,
199,199,199,199,199,2007-10-18,Dwayne Roloson,away,Edmonton Oilers,Phoenix Coyotes,60.0,2,2.89,20072008,
200,200,200,200,200,2007-10-18,Evgeni Nabokov,home,San Jose Sharks,Detroit Red Wings,59.2,4,2.33,20072008,
201,201,201,201,201,2007-10-18,Chris Osgood,away,Detroit Red Wings,San Jose Sharks,60.0,2,1.76,20072008,
202,202,202,202,202,2007-10-19,Ryan Miller,home,Buffalo Sabres,Columbus Blue Jackets,59.45,2,1.58,20072008,
203,203,203,203,203,2007-10-19,Pascal Leclaire,away,Columbus Blue Jackets,Buffalo Sabres,59.6167,0,2.12,20072008,
204,204,204,204,204,2007-10-19,Dany Sabourin,home,Pittsburgh Penguins,Carolina Hurricanes,65.0,3,2.53,20072008,
205,205,205,205,205,2007-10-19,Cam Ward,away,Carolina Hurricanes,Pittsburgh Penguins,65.0,3,3.36,20072008,
206,206,206,206,206,2007-10-19,Nikolai Khabibulin,home,Chicago Blackhawks,Colorado Avalanche,59.8667,3,3.03,20072008,
207,207,207,207,207,2007-10-19,Jose Theodore,away,Colorado Avalanche,Chicago Blackhawks,59.55,4,2.68,20072008,
208,208,208,208,208,2007-10-19,Roberto Luongo,home,Vancouver Canucks,Los Angeles Kings,58.5833,3,1.7,20072008,
209,209,209,209,209,2007-10-19,Jason LaBarbera,away,Los Angeles Kings,Vancouver Canucks,59.7,2,2.66,20072008,
210,210,210,210,210,2007-10-20,Manny Fernandez,home,Boston Bruins,New York Rangers,45.0,0,2.07,20072008,
211,211,211,211,211,2007-10-20,Henrik Lundqvist,away,New York Rangers,Boston Bruins,65.0,0,0.99,20072008,
212,212,212,212,212,2007-10-20,Andrew Raycroft,home,Toronto Maple Leafs,Chicago Blackhawks,59.5833,5,3.76,20072008,
213,213,213,213,213,2007-10-20,Patrick Lalime,away,Chicago Blackhawks,Toronto Maple Leafs,60.0,4,2.15,20072008,
214,214,214,214,214,2007-10-20,Cristobal Huet,home,Montreal Canadiens,Buffalo Sabres,59.7167,2,2.57,20072008,
215,215,215,215,215,2007-10-20,Ryan Miller,away,Buffalo Sabres,Montreal Canadiens,59.5333,3,2.46,20072008,
216,216,216,216,216,2007-10-20,Ray Emery,home,Ottawa Senators,Florida Panthers,59.8167,1,3.32,20072008,
217,217,217,217,217,2007-10-20,Tomas Vokoun,away,Florida Panthers,Ottawa Senators,59.85,4,4.52,20072008,
218,218,218,218,218,2007-10-20,Rick DiPietro,home,New York Islanders,New Jersey Devils,64.9333,3,2.58,20072008,
