,Player,Season,Team,dob,pos
52,Petr Sykora,20072008,Pittsburgh Penguins,1976-11-19,RW
53,Pierre-Marc Bouchard,20072008,Minnesota Wild,1984-04-27,C
54,Patrick Sharp,20072008,Chicago Blackhawks,1981-12-27,LW/RW
55,Nathan Horton,20072008,Florida Panthers,1985-05-29,RW
56,Brad Richards,20072008,totals,1980-05-02,C
57,Mark Streit,20072008,Montréal Canadiens,1977-12-11,D
58,Brian Campbell,20072008,totals,1979-05-23,D
59,Nikolay Zherdev,20072008,Columbus Blue Jackets,1984-11-05,LW/RW
60,Ray Whitney,20072008,Carolina Hurricanes,1972-05-08,LW
61,Dustin Brown,20072008,Los Angeles Kings,1984-11-04,RW/LW
62,Dion Phaneuf,20072008,Calgary Flames,1985-04-10,D
63,Brian Rolston,20072008,Minnesota Wild,1973-02-21,LW
64,Andrew Brunette,20072008,Colorado Avalanche,1973-08-24,LW
65,Keith Tkachuk,20072008,St Louis Blues,1972-03-28,LW
66,Alexander Radulov,20072008,Nashville Predators,1986-07-05,RW
67,Chris Drury,20072008,New York Rangers,1976-08-20,C
68,Alex Tanguay,20072008,Calgary Flames,1979-11-21,LW
69,Andrei Markov,20072008,Montréal Canadiens,1978-12-20,D
70,Martin Erat,20072008,Nashville Predators,1981-08-29,RW/LW
71,Mike Modano,20072008,Dallas Stars,1970-06-07,C
72,Radim Vrbata,20072008,Phoenix Coyotes,1981-06-13,RW
73,Marco Sturm,20072008,Boston Bruins,1978-09-08,LW
74,Nik Antropov,20072008,Toronto Maple Leafs,1980-02-18,C/RW
75,Mike Green,20072008,Washington Capitals,1985-10-12,D
76,Saku Koivu,20072008,Montréal Canadiens,1974-11-23,C
77,Mike Knuble,20072008,Philadelphia Flyers,1972-07-04,RW
78,Markus Naslund,20072008,Vancouver Canucks,1973-07-30,LW
79,Milan Michalek,20072008,San Jose Sharks,1984-12-07,LW/RW
80,Patrik Elias,20072008,New Jersey Devils,1976-04-13,LW
81,Brian Rafalski,20072008,Detroit Red Wings,1973-09-28,D
82,Corey Perry,20072008,Anaheim Ducks,1985-05-16,RW
83,Milan Hejduk,20072008,Colorado Avalanche,1976-02-14,RW
84,Jonathan Toews,20072008,Chicago Blackhawks,1988-04-29,C
85,Peter Mueller,20072008,Phoenix Coyotes,1988-04-14,RW/C
86,Robert Lang,20072008,Chicago Blackhawks,1970-12-19,C
87,Viktor Kozlov,20072008,Washington Capitals,1975-02-14,C/RW
88,Pavol Demitra,20072008,Minnesota Wild,1974-11-29,C
89,Jeff Carter,20072008,Philadelphia Flyers,1985-01-01,C
90,Andrei Kostitsyn,20072008,Montréal Canadiens,1985-02-03,LW/RW
91,Antoine Vermette,20072008,Ottawa Senators,1982-07-20,C
92,Patrick O'Sullivan,20072008,Los Angeles Kings,1985-02-01,C
93,Brian Gionta,20072008,New Jersey Devils,1979-01-18,RW
94,Tomas Kaberle,20072008,Toronto Maple Leafs,1978-03-02,D
95,Chris Higgins,20072008,Montréal Canadiens,1983-06-02,LW
96,Andy McDonald,20072008,totals,1977-08-25,C/LW
97,Jason Blake,20072008,Toronto Maple Leafs,1973-09-02,LW/C
98,Ryan Malone,20072008,Pittsburgh Penguins,1979-12-01,LW
99,Erik Cole,20072008,Carolina Hurricanes,1978-11-06,LW
100,Rod Brind'Amour,20072008,Carolina Hurricanes,1970-08-09,C
101,Zdeno Chara,20072008,Boston Bruins,1977-03-18,D
102,Ed Jovanovski,20072008,Phoenix Coyotes,1976-06-26,D
103,Shawn Horcoff,20072008,Edmonton Oilers,1978-09-17,C
104,Chris Kunitz,20072008,Anaheim Ducks,1979-09-26,LW
105,R.J. Umberger,20072008,Philadelphia Flyers,1982-05-03,C/W
106,Jochen Hecht,20072008,Buffalo Sabres,1977-06-21,C/LW
107,Mike Comrie,20072008,New York Islanders,1980-09-11,C
108,Matt Cullen,20072008,Carolina Hurricanes,1976-11-02,C
109,Sam Gagner,20072008,Edmonton Oilers,1989-08-10,C/RW
110,Patrick Marleau,20072008,San Jose Sharks,1979-09-15,LW
111,Wojtek Wolski,20072008,Colorado Avalanche,1986-02-24,LW/RW
112,Mark Recchi,20072008,totals,1968-02-01,RW
113,Joe Corvo,20072008,totals,1977-06-20,D
114,Mike Fisher,20072008,Ottawa Senators,1980-06-05,C
115,Dustin Penner,20072008,Edmonton Oilers,1982-09-28,LW
116,Mike Cammalleri,20072008,Los Angeles Kings,1982-06-08,W/C
117,Brendan Shanahan,20072008,New York Rangers,1969-01-23,LW
118,Joffrey Lupul,20072008,Philadelphia Flyers,1983-09-23,RW
119,Steve Reinprecht,20072008,Phoenix Coyotes,1976-05-07,C
120,Andrew Cogliano,20072008,Edmonton Oilers,1987-06-14,C/LW
121,Eric Perrin,20072008,Atlanta Thrashers,1975-11-01,C
122,Bill Guerin,20072008,New York Islanders,1970-11-09,RW
123,David Legwand,20072008,Nashville Predators,1980-08-17,C
124,Kimmo Timonen,20072008,Philadelphia Flyers,1975-03-18,D
125,Scott Hartnell,20072008,Philadelphia Flyers,1982-04-18,LW
126,Ales Kotalik,20072008,Buffalo Sabres,1978-12-23,RW/LW
127,John Madden,20072008,New Jersey Devils,1973-05-04,C
128,Brent Burns,20072008,Minnesota Wild,1985-03-09,D
129,Chris Pronger,20072008,Anaheim Ducks,1974-10-10,D
130,Marek Zidlicky,20072008,Nashville Predators,1977-02-03,D
131,Alexander Semin,20072008,Washington Capitals,1984-03-03,RW/LW
132,Daniel Cleary,20072008,Detroit Red Wings,1978-12-18,RW/LW
133,Jeff Halpern,20072008,totals,1976-05-03,C
134,Jussi Jokinen,20072008,totals,1983-04-01,W/C
135,Alexander Steen,20072008,Toronto Maple Leafs,1984-03-01,LW/RW
136,Stephen Weiss,20072008,Florida Panthers,1983-04-03,C
137,Jiri Hudler,20072008,Detroit Red Wings,1984-01-04,LW
138,Mikko Koivu,20072008,Minnesota Wild,1983-03-12,C
139,Niklas Hagman,20072008,Dallas Stars,1979-12-05,LW/RW
140,Vyacheslav Kozlov,20072008,Atlanta Thrashers,1972-05-03,LW
141,Miroslav Satan,20072008,New York Islanders,1974-10-22,RW
142,Martin Straka,20072008,New York Rangers,1972-09-03,C
143,Jamie Langenbrunner,20072008,New Jersey Devils,1975-07-24,RW
144,Trent Hunter,20072008,New York Islanders,1980-06-05,RW
145,Sergei Fedorov,20072008,totals,1969-12-13,C
146,Robert Nilsson,20072008,Edmonton Oilers,1985-01-10,LW
147,Lubomir Visnovsky,20072008,Los Angeles Kings,1976-08-11,D
148,David Booth,20072008,Florida Panthers,1984-11-24,LW/RW
149,Tomas Holmstrom,20072008,Detroit Red Wings,1973-01-23,RW
150,Joe Pavelski,20072008,San Jose Sharks,1984-07-11,C/RW
151,Todd Bertuzzi,20072008,Anaheim Ducks,1975-02-02,RW/LW
152,Brandon Dubinsky,20072008,New York Rangers,1986-04-29,C/LW
153,Joe Sakic,20072008,Colorado Avalanche,1969-07-07,C
154,Ryan Whitney,20072008,Pittsburgh Penguins,1983-02-19,D
155,Pavel Kubina,20072008,Toronto Maple Leafs,1977-04-15,D
156,Mikael Samuelsson,20072008,Detroit Red Wings,1976-12-23,RW
157,Tim Connolly,20072008,Buffalo Sabres,1981-05-07,C
158,Chuck Kobasew,20072008,Boston Bruins,1982-04-17,RW
159,Mathieu Schneider,20072008,Anaheim Ducks,1969-06-12,D
160,Johan Franzen,20072008,Detroit Red Wings,1979-12-23,LW
161,Drew Stafford,20072008,Buffalo Sabres,1985-10-30,RW
162,Lee Stempniak,20072008,St Louis Blues,1983-02-04,RW
163,Michal Rozsival,20072008,New York Rangers,1978-09-03,D
164,Dainius Zubrus,20072008,New Jersey Devils,1978-06-16,W/C
165,Wade Redden,20072008,Ottawa Senators,1977-06-12,D
166,Toby Enstrom,20072008,Atlanta Thrashers,1984-11-05,D
167,Marek Svatos,20072008,Colorado Avalanche,1982-06-17,RW
168,Jonathan Cheechoo,20072008,San Jose Sharks,1980-07-15,RW
169,Ryan Kesler,20072008,Vancouver Canucks,1984-08-31,C
170,Brooks Laich,20072008,Washington Capitals,1983-06-23,C/LW
171,Phil Kessel,20072008,Boston Bruins,1987-10-02,RW/C
172,Taylor Pyatt,20072008,Vancouver Canucks,1981-08-19,LW
173,Jere Lehtinen,20072008,Dallas Stars,1973-06-24,LW
174,Jay Bouwmeester,20072008,Florida Panthers,1983-09-27,D
175,Ryan Smyth,20072008,Colorado Avalanche,1976-02-21,LW
176,Brett McLean,20072008,Florida Panthers,1978-08-14,C
177,Todd White,20072008,Atlanta Thrashers,1975-05-21,C
178,Eric Belanger,20072008,Minnesota Wild,1977-12-16,C
179,Michael Nylander,20072008,Washington Capitals,1972-10-03,C
180,Dustin Byfuglien,20072008,Chicago Blackhawks,1985-03-27,D
181,Valtteri Filppula,20072008,Detroit Red Wings,1984-03-20,C/LW
182,Michel Ouellet,20072008,Tampa Bay Lightning,1982-03-05,RW
183,Sergei Samsonov,20072008,totals,1978-10-27,LW
184,Jarret Stoll,20072008,Edmonton Oilers,1982-06-24,C
185,Matthew Lombardi,20072008,Calgary Flames,1982-03-18,C
186,Jason Williams,20072008,Chicago Blackhawks,1980-08-11,RW/C
187,Dennis Wideman,20072008,Boston Bruins,1983-03-20,D
188,Paul Gaustad,20072008,Buffalo Sabres,1982-02-03,C
189,Braydon Coburn,20072008,Philadelphia Flyers,1985-02-27,D
190,Andrej Meszaros,20072008,Ottawa Senators,1985-10-13,D
191,Daniel Paille,20072008,Buffalo Sabres,1984-04-15,LW
192,Alexei Ponikarovsky,20072008,Toronto Maple Leafs,1980-04-09,LW
193,Josef Vasicek,20072008,New York Islanders,1980-09-12,C
194,Colby Armstrong,20072008,totals,1982-11-23,RW/LW
195,Jan Hlavac,20072008,totals,1976-09-20,LW/RW
196,Adrian Aucoin,20072008,Calgary Flames,1973-07-03,D
197,Martin Hanzal,20072008,Phoenix Coyotes,1987-02-20,C
198,Derek Armstrong,20072008,Los Angeles Kings,1973-04-23,C
199,Niklas Kronwall,20072008,Detroit Red Wings,1981-01-12,D
200,Craig Rivet,20072008,San Jose Sharks,1974-09-13,D
201,Sergei Zubov,20072008,Dallas Stars,1970-07-22,D
202,Darcy Tucker,20072008,Toronto Maple Leafs,1975-03-15,LW
203,Antti Miettinen,20072008,Dallas Stars,1980-07-03,W/C
204,Bobby Holik,20072008,Atlanta Thrashers,1971-01-01,C
205,Travis Zajac,20072008,New Jersey Devils,1985-05-13,C
206,Craig Conroy,20072008,Calgary Flames,1971-09-04,C
207,Michael Peca,20072008,Columbus Blue Jackets,1974-03-26,C
208,Ruslan Fedotenko,20072008,New York Islanders,1979-01-18,LW/RW
209,Matt Stajan,20072008,Toronto Maple Leafs,1983-12-19,C
210,Sean Avery,20072008,New York Rangers,1980-04-10,LW/C
211,Jeremy Roenick,20072008,San Jose Sharks,1970-01-17,C
212,Tom Gilbert,20072008,Edmonton Oilers,1983-01-10,D
213,Glen Metropolit,20072008,Boston Bruins,1974-06-25,C
214,Erik Johnson,20072008,St Louis Blues,1988-03-21,D
215,Steve Bernier,20072008,totals,1985-03-31,RW
216,Owen Nolan,20072008,Calgary Flames,1972-02-12,RW
217,Scott Walker,20072008,Carolina Hurricanes,1973-07-19,RW
218,Richard Park,20072008,New York Islanders,1976-05-27,RW/C
219,Duncan Keith,20072008,Chicago Blackhawks,1983-07-16,D
220,Vernon Fiddler,20072008,Nashville Predators,1980-05-09,C/LW
221,Tuomo Ruutu,20072008,totals,1983-02-16,LW/RW
222,Jaroslav Spacek,20072008,Buffalo Sabres,1974-02-11,D
223,Brent Seabrook,20072008,Chicago Blackhawks,1985-04-20,D
224,Ron Hainsey,20072008,Columbus Blue Jackets,1981-03-24,D
225,John-Michael Liles,20072008,Colorado Avalanche,1980-11-25,D
226,Paul Martin,20072008,New Jersey Devils,1981-03-05,D
227,Loui Eriksson,20072008,Dallas Stars,1985-07-17,LW/RW
228,Michael Ryder,20072008,Montréal Canadiens,1980-03-31,RW
229,Kyle Brodziak,20072008,Edmonton Oilers,1984-05-25,C
230,Jason Chimera,20072008,Columbus Blue Jackets,1979-05-02,LW/RW
231,David Backes,20072008,St Louis Blues,1984-05-01,RW/C
232,Alexandre Burrows,20072008,Vancouver Canucks,1981-04-11,RW/LW
233,Tyler Arnason,20072008,Colorado Avalanche,1979-03-16,C
234,Paul Ranger,20072008,Tampa Bay Lightning,1984-09-12,D
235,Rob Blake,20072008,Los Angeles Kings,1969-12-10,D
236,Ryan Suter,20072008,Nashville Predators,1985-01-21,D
237,Filip Kuba,20072008,Tampa Bay Lightning,1976-12-29,D
238,Randy Jones,20072008,Philadelphia Flyers,1981-07-23,D
239,Glen Murray,20072008,Boston Bruins,1972-11-01,RW
240,Mark Parrish,20072008,Minnesota Wild,1977-02-02,RW
241,Scottie Upshall,20072008,Philadelphia Flyers,1983-10-07,LW/RW
242,Andrew Ladd,20072008,totals,1985-12-12,LW
243,Chris Kelly,20072008,Ottawa Senators,1980-11-11,C/LW
244,Tomas Fleischmann,20072008,Washington Capitals,1984-05-16,LW
245,Justin Williams,20072008,Carolina Hurricanes,1981-10-04,RW
246,Ruslan Salei,20072008,totals,1974-11-02,D
247,Nigel Dawes,20072008,New York Rangers,1985-02-09,LW
248,Radek Bonk,20072008,Nashville Predators,1976-01-09,C
249,P.J. Axelsson,20072008,Boston Bruins,1975-02-26,LW
250,Manny Malhotra,20072008,Columbus Blue Jackets,1980-05-18,C
251,Randy Robitaille,20072008,Ottawa Senators,1975-10-12,C
252,Tom Poti,20072008,Washington Capitals,1977-03-22,D
253,Jordan Staal,20072008,Pittsburgh Penguins,1988-09-10,C
254,Maxim Afinogenov,20072008,Buffalo Sabres,1979-09-04,RW
255,Niko Kapanen,20072008,Phoenix Coyotes,1978-04-29,C
256,Dan Girardi,20072008,New York Rangers,1984-04-29,D
257,Jaroslav Hlinka,20072008,Colorado Avalanche,1976-11-10,C/LW
258,Guillaume Latendresse,20072008,Montréal Canadiens,1987-05-24,LW/RW
259,David Perron,20072008,St Louis Blues,1988-05-28,LW/RW
260,Pascal Dupuis,20072008,totals,1979-04-07,LW
261,Jamal Mayers,20072008,St Louis Blues,1974-10-24,RW
262,Martin Havlat,20072008,Chicago Blackhawks,1981-04-19,RW/LW
263,Sergei Kostitsyn,20072008,Montréal Canadiens,1987-03-20,RW/LW
264,Milan Lucic,20072008,Boston Bruins,1988-06-07,LW
265,David Krejci,20072008,Boston Bruins,1986-04-28,C
266,Kim Johnsson,20072008,Minnesota Wild,1976-03-16,D
267,Dan Hamhuis,20072008,Nashville Predators,1982-12-13,D
268,Richard Zednik,20072008,Florida Panthers,1976-01-06,LW
269,Mike Sillinger,20072008,New York Islanders,1971-06-29,C
270,Rostislav Olesz,20072008,Florida Panthers,1985-10-10,LW/RW
271,Max Talbot,20072008,Pittsburgh Penguins,1984-02-11,C/W
272,Daniel Winnik,20072008,Phoenix Coyotes,1985-03-06,W/C
273,Ladislav Nagy,20072008,Los Angeles Kings,1979-06-01,LW/RW
274,Peter Schaefer,20072008,Boston Bruins,1977-07-12,LW
275,Stephane Robidas,20072008,Dallas Stars,1977-03-03,D
276,Joni Pitkanen,20072008,Edmonton Oilers,1983-09-19,D
277,David Vyborny,20072008,Columbus Blue Jackets,1975-01-22,C
278,James Wisniewski,20072008,Chicago Blackhawks,1984-02-21,D
279,Matt Niskanen,20072008,Dallas Stars,1986-12-06,D
280,Johnny Oduya,20072008,New Jersey Devils,1981-10-01,D
281,Roman Hamrlik,20072008,Montréal Canadiens,1974-04-12,D
282,Toni Lydman,20072008,Buffalo Sabres,1977-09-25,D
283,Curtis Glencross,20072008,totals,1982-12-28,LW
284,Marty Reasoner,20072008,Edmonton Oilers,1977-02-26,C
285,Doug Weight,20072008,totals,1971-01-21,C
286,Brendan Morrison,20072008,Vancouver Canucks,1975-08-15,C
287,Scott Niedermayer,20072008,Anaheim Ducks,1973-08-31,D
288,Sami Salo,20072008,Vancouver Canucks,1974-09-02,D
289,Bryan Smolinski,20072008,Montréal Canadiens,1971-12-27,C
290,Kamil Kreps,20072008,Florida Panthers,1984-11-18,C/RW
291,Derek Morris,20072008,Phoenix Coyotes,1978-08-24,D
292,Dan Boyle,20072008,Tampa Bay Lightning,1976-07-12,D
293,Daniel Carcillo,20072008,Phoenix Coyotes,1985-01-28,LW
294,Jay Pandolfo,20072008,New Jersey Devils,1974-12-27,LW
295,Erik Christensen,20072008,totals,1983-12-17,C
296,Rene Bourque,20072008,Chicago Blackhawks,1981-12-10,LW/RW
297,Mattias Ohlund,20072008,Vancouver Canucks,1976-09-09,D
298,Jeff Hamilton,20072008,Carolina Hurricanes,1977-09-04,C/RW
299,Tom Preissing,20072008,Los Angeles Kings,1978-12-03,D
300,Christoph Schubert,20072008,Ottawa Senators,1982-02-05,D
301,Trevor Daley,20072008,Dallas Stars,1983-10-09,D
302,Hal Gill,20072008,totals,1975-04-06,D
303,Teemu Selanne,20072008,Anaheim Ducks,1970-07-03,RW
304,Stu Barnes,20072008,Dallas Stars,1970-12-25,C
305,Chad LaRose,20072008,Carolina Hurricanes,1982-03-27,RW/LW
306,Matt Cooke,20072008,totals,1978-09-07,LW
307,Steve Montador,20072008,Florida Panthers,1979-12-21,D
308,Brad Stuart,20072008,totals,1979-11-06,D
309,Bryan McCabe,20072008,Toronto Maple Leafs,1975-06-08,D
310,Fernando Pisani,20072008,Edmonton Oilers,1976-12-27,RW
311,Steve Ott,20072008,Dallas Stars,1982-08-19,C/W
312,Ben Guite,20072008,Colorado Avalanche,1978-07-17,C
313,Dan Fritsche,20072008,Columbus Blue Jackets,1985-07-13,C/W
314,Sean Bergenheim,20072008,New York Islanders,1984-02-08,LW/RW
315,Dean McAmmond,20072008,Ottawa Senators,1973-06-15,LW
316,Mike Grier,20072008,San Jose Sharks,1975-01-05,RW
317,Jay McClement,20072008,St Louis Blues,1983-03-02,C/D
318,David Clarkson,20072008,New Jersey Devils,1984-03-31,RW
319,Jiri Novotny,20072008,Columbus Blue Jackets,1983-08-12,C
320,Mathieu Darche,20072008,Tampa Bay Lightning,1976-11-26,LW
321,Bryan Berard,20072008,New York Islanders,1977-03-05,D
322,Christian Ehrhoff,20072008,San Jose Sharks,1982-07-06,D
323,Eric Brewer,20072008,St Louis Blues,1979-04-17,D
324,Frantisek Kaberle,20072008,Carolina Hurricanes,1973-11-08,D
325,Fredrik Sjostrom,20072008,totals,1983-05-06,LW
326,Chris Gratton,20072008,Tampa Bay Lightning,1975-07-05,C
327,Mason Raymond,20072008,Vancouver Canucks,1985-09-17,LW/RW
328,Kyle Wellwood,20072008,Toronto Maple Leafs,1983-05-16,C
329,Michal Handzus,20072008,Los Angeles Kings,1977-03-11,C
330,Keith Ballard,20072008,Phoenix Coyotes,1982-11-26,D
331,Brett Clark,20072008,Colorado Avalanche,1976-12-23,D
332,Ian White,20072008,Toronto Maple Leafs,1984-06-04,D
333,Shane O'Brien,20072008,Tampa Bay Lightning,1983-08-09,D
334,Scott Hannan,20072008,Colorado Avalanche,1979-01-23,D
335,Francois Beauchemin,20072008,Anaheim Ducks,1980-06-04,D
336,Torrey Mitchell,20072008,San Jose Sharks,1985-01-30,C/RW
337,Martin Gelinas,20072008,Nashville Predators,1970-06-05,LW
338,Alexander Edler,20072008,Vancouver Canucks,1986-04-21,D
339,Jozef Stumpel,20072008,Florida Panthers,1972-07-20,C
340,Kyle Calder,20072008,Los Angeles Kings,1979-01-05,LW
341,Shea Weber,20072008,Nashville Predators,1985-08-14,D
342,Chris Neil,20072008,Ottawa Senators,1979-06-18,RW
343,Ville Peltonen,20072008,Florida Panthers,1973-03-24,LW
344,Fedor Tyutin,20072008,New York Rangers,1983-07-19,D
345,Robyn Regehr,20072008,Calgary Flames,1980-04-19,D
346,Brent Sopel,20072008,Chicago Blackhawks,1977-01-07,D
347,Tyler Kennedy,20072008,Pittsburgh Penguins,1986-07-15,C/RW
348,Marc-Andre Bergeron,20072008,totals,1980-10-13,D
349,Jeff Finger,20072008,Colorado Avalanche,1979-12-18,D
350,Kurtis Foster,20072008,Minnesota Wild,1981-11-24,D
351,Ian Laperriere,20072008,Colorado Avalanche,1974-01-19,RW
352,Kent Huskins,20072008,Anaheim Ducks,1979-05-04,D
353,James Sheppard,20072008,Minnesota Wild,1988-04-25,C/LW
354,Tim Gleason,20072008,Carolina Hurricanes,1983-01-29,D
355,Jordin Tootoo,20072008,Nashville Predators,1983-02-02,RW
356,Stephane Veilleux,20072008,Minnesota Wild,1981-11-16,LW
357,Scott Nichol,20072008,Nashville Predators,1974-12-31,C
358,Trevor Letowski,20072008,Carolina Hurricanes,1977-04-05,RW
359,Simon Gagne,20072008,Philadelphia Flyers,1980-02-29,LW
360,Maxim Lapierre,20072008,Montréal Canadiens,1985-03-29,C
361,Boyd Devereaux,20072008,Toronto Maple Leafs,1978-04-16,LW
362,Matt Bradley,20072008,Washington Capitals,1978-06-13,RW/LW
363,Cam Barker,20072008,Chicago Blackhawks,1986-04-04,D
364,Rostislav Klesla,20072008,Columbus Blue Jackets,1982-03-21,D
365,Jeff Schultz,20072008,Washington Capitals,1986-02-25,D
366,Chris Thorburn,20072008,Atlanta Thrashers,1983-06-03,RW
367,Ryan Johnson,20072008,St Louis Blues,1976-06-14,C
368,Chris Phillips,20072008,Ottawa Senators,1978-03-09,D
369,Gregory Campbell,20072008,Florida Panthers,1983-12-17,C
370,Chris Campoli,20072008,New York Islanders,1984-07-09,D
371,Christian Backman,20072008,totals,1980-04-28,D
372,Denis Grebeshkov,20072008,Edmonton Oilers,1983-10-11,D
373,Anders Eriksson,20072008,Calgary Flames,1975-01-09,D
374,Henrik Tallinder,20072008,Buffalo Sabres,1979-01-10,D
375,Devin Setoguchi,20072008,San Jose Sharks,1987-01-01,RW
376,Chad Kilger,20072008,Toronto Maple Leafs,1976-11-27,LW
377,Kris Draper,20072008,Detroit Red Wings,1971-05-24,C
378,Radek Dvorak,20072008,Florida Panthers,1977-03-09,RW
379,Patrick Rissmiller,20072008,San Jose Sharks,1978-10-26,LW/RW
380,Joel Perrault,20072008,Phoenix Coyotes,1983-04-06,C/RW
381,Petr Prucha,20072008,New York Rangers,1982-09-14,RW/LW
382,Branko Radivojevic,20072008,Minnesota Wild,1980-11-24,RW
383,Kris Letang,20072008,Pittsburgh Penguins,1987-04-24,D
384,Dominic Moore,20072008,totals,1980-08-03,C
385,Adam Mair,20072008,Buffalo Sabres,1979-02-15,RW
386,Dave Bolland,20072008,Chicago Blackhawks,1986-06-05,C/RW
387,Ville Koistinen,20072008,Nashville Predators,1982-06-17,D
388,Zbynek Michalek,20072008,Phoenix Coyotes,1982-12-23,D
389,Mike Komisarek,20072008,Montréal Canadiens,1982-01-19,D
390,Mike Mottau,20072008,New Jersey Devils,1978-03-19,D
391,Jim Vandermeer,20072008,totals,1980-02-21,D
392,Cory Murphy,20072008,Florida Panthers,1978-02-13,D
393,Bret Hedican,20072008,Carolina Hurricanes,1970-08-10,D
394,Paul Mara,20072008,New York Rangers,1979-09-07,D
395,Jiri Tlusty,20072008,Toronto Maple Leafs,1988-03-16,LW/RW
396,Todd Marchant,20072008,Anaheim Ducks,1973-08-12,C
397,Andy Hilbert,20072008,New York Islanders,1981-02-06,C
398,Rob Niedermayer,20072008,Anaheim Ducks,1974-12-28,RW/C
399,Boyd Gordon,20072008,Washington Capitals,1983-10-19,C
400,Jerred Smithson,20072008,Nashville Predators,1979-02-04,C/RW
401,Steve Staios,20072008,Edmonton Oilers,1973-07-28,D
402,Bryan Little,20072008,Atlanta Thrashers,1987-11-12,C
403,Jarkko Ruutu,20072008,Pittsburgh Penguins,1975-08-23,LW
404,Sergei Brylin,20072008,New Jersey Devils,1974-01-13,W/C
405,Martin Rucinsky,20072008,St Louis Blues,1971-03-11,LW
406,Sandis Ozolins,20072008,San Jose Sharks,1972-08-03,D
407,Bryan Allen,20072008,Florida Panthers,1980-08-21,D
408,Barret Jackman,20072008,St Louis Blues,1981-03-05,D
409,Adam Foote,20072008,totals,1971-07-10,D
410,Clarke MacArthur,20072008,Buffalo Sabres,1985-04-06,LW
411,Blake Comeau,20072008,New York Islanders,1986-02-18,LW/RW
412,Samuel Pahlsson,20072008,Anaheim Ducks,1977-12-17,C
