id,player_id,team_id,season_id,first_name,last_name,full_name,season_abbreviation,team_abbreviation,position,jersey_number,handedness,rookie,captaincy,age,draft_plus_minus,draft_plus_minus_string,draft_year,games_played,game_score,game_score_pg,goals_created,off_point_shares,def_point_shares,point_shares
,6669,,65,Colin,White,Colin White,19-20,BEL,C,,R,false,,22.64,5,+5,2015,1,1.93,1.93,,,,
,4514,,77,Josh,Leivo,Josh Leivo,22-23,SPR,LW,,R,,,29.33,12,+12,2011,2,3.85,1.93,,,,
,5017,,48,Rickard,Rakell,Rickard Rakell,14-15,NOR,C,,R,false,,21.38,4,+4,2011,2,3.83,1.92,,,,
,5517,,65,Stephen,Johns,Stephen Johns,19-20,TEX,D,,R,false,,27.43,10,+10,2010,2,3.76,1.88,,,,
,4916,,40,Joonas,Rask,Joonas Rask,12-13,MIL,LW,,R,false,,22.5,5,+5,2008,1,1.83,1.83,,,,
,7638,,61,Kamerin,Nault,Kamerin Nault,18-19,MB,LW,,L,true,,23.04,6,+6,2013,1,1.83,1.83,,,,
,4607,,48,Adam,Larsson,Adam Larsson,14-15,ALB,D,,R,false,,21.85,4,+4,2011,1,1.78,1.78,,,,
,2017,,30,Vladimir,Sobotka,Vladimir Sobotka,09-10,PRO,C,,L,false,,22.22,5,+5,2005,6,10.66,1.78,,,,
,2010,,48,David,Schlemko,David Schlemko,14-15,POR,D,,L,false,,27.38,10,+10,2005,2,3.53,1.77,,,,
,3733,,43,Mark,Arcobello,Mark Arcobello,13-14,OKC,C,,R,false,,25.11,8,+8,2006,15,26.43,1.76,,,,
,6354,,57,Danton,Heinen,Danton Heinen,17-18,PRO,C,,L,false,,22.21,5,+5,2013,4,7.01,1.75,,,,
,7332,,61,Cedric,Lacroix,Cedric Lacroix,18-19,WBS,LW,,L,true,,23.88,6,+6,2013,1,1.73,1.73,,,,
,3125,,61,Thomas,Hickey,Thomas Hickey,18-19,BRI,D,,L,false,,29.62,12,+12,2007,2,3.43,1.72,,,,
,6483,,57,Alex,Tuch,Alex Tuch,17-18,CHI,RW,,R,false,,21.36,4,+4,2014,3,5.13,1.71,,,,
,3362,,30,Marc-Andre,Bergeron,Marc-Andre Bergeron,09-10,HAM,D,,L,false,,28.94,11,+11,1999,3,5.11,1.7,,,,
,7520,,61,Johnathan,Kovacevic,Johnathan Kovacevic,18-19,MB,D,,R,true,,21.19,4,+4,2015,1,1.68,1.68,,,,
,1164,,16,Lauri,Korpikoski,Lauri Korpikoski,08-09,HFD,LW,,L,false,,22.15,5,+5,2004,4,6.66,1.67,,,,
,2440,,40,Matt,Halischuk,Matt Halischuk,12-13,MIL,RW,,R,false,,24.31,7,+7,2006,2,3.33,1.67,,,,
,6856,,77,Sheldon,Dries,Sheldon Dries,22-23,ABB,C,,L,,,28.42,11,+11,2012,2,3.3,1.65,,,,
,6306,,68,Mitchell,Stephens,Mitchell Stephens,20-21,SYR,C,,R,false,,23.62,6,+6,2015,4,6.54,1.64,,,,
,3898,,37,Brayden,Schenn,Brayden Schenn,11-12,ADK,C,,L,true,,20.08,3,+3,2009,7,11.4,1.63,,,,
,5837,,51,Frank,Vatrano,Frank Vatrano,15-16,PRO,C,,L,true,,21.52,4,+4,2012,36,58.14,1.62,,,,
,7035,,68,Kiefer,Sherwood,Kiefer Sherwood,20-21,COL,RW,,R,false,,25.48,8,+8,2013,10,16.0,1.6,,,,
,1387,,34,Dustin,Boyd,Dustin Boyd,10-11,HAM,C,,L,false,,24.18,7,+7,2004,6,9.47,1.58,,,,
,5643,,68,Gemel,Smith,Gemel Smith,20-21,SYR,C,,L,false,,26.44,9,+9,2012,3,4.73,1.58,,,,
,2555,,16,Matt,Pettinger,Matt Pettinger,08-09,MTB,LW,,L,false,,27.92,10,+10,1999,2,3.15,1.58,,,,
,6959,,73,Lias,Andersson,Lias Andersson,21-22,ONT,C,,L,false,,22.94,5,+5,2017,4,6.3,1.58,,,,
,4614,,51,Tomas,Jurco,Tomas Jurco,15-16,GR,LW,,L,false,,22.73,5,+5,2011,5,7.83,1.57,,,,
,5720,,48,Jonathan,Drouin,Jonathan Drouin,14-15,SYR,LW,,L,true,,19.48,2,+2,2013,2,3.13,1.57,,,,
,5735,,51,Chris,Tierney,Chris Tierney,15-16,SJ,C,,L,false,,21.22,4,+4,2012,2,3.13,1.57,,,,
,32,,12,Nigel,Dawes,Nigel Dawes,07-08,HFD,LW,,L,false,,22.61,5,+5,2003,20,31.12,1.56,,,,
,3264,,30,Anton,Gustafsson,Anton Gustafsson,09-10,HER,C,,L,true,,19.57,2,+2,2008,1,1.55,1.55,,,,
,4363,,43,Jordon,Southorn,Jordon Southorn,13-14,POR,D,,L,false,,23.35,6,+6,2008,1,1.55,1.55,,,,
,5510,,61,Chris,McCarthy,Chris McCarthy,18-19,HER,C,,R,false,,27.15,10,+10,2009,2,3.08,1.54,,,,
,5517,,54,Stephen,Johns,Stephen Johns,16-17,TEX,D,,R,false,,24.43,7,+7,2010,2,3.08,1.54,,,,
,1462,,12,Mikhail,Grabovski,Mikhail Grabovski,07-08,HAM,C,,L,false,,23.64,6,+6,2002,12,18.47,1.54,,,,
,6459,,65,Denis,Gurianov,Denis Gurianov,19-20,TEX,RW,,L,false,,22.29,5,+5,2015,2,3.07,1.54,,,,
,3777,,73,Brandon,Pirri,Brandon Pirri,21-22,RFD,LW,,L,false,,30.45,13,+13,2009,3,4.6,1.53,,,,
,4518,,40,Dan,Catenacci,Dan Catenacci,12-13,RCH,LW,,L,true,,19.53,2,+2,2011,2,3.05,1.53,,,,
,8947,,73,Evander,Kane,Evander Kane,21-22,SJ,LW,,L,false,,30.14,13,+13,2009,5,7.59,1.52,,,,
,2379,,12,Matt,Fornataro,Matt Fornataro,07-08,SYR,RW,,R,true,,22.24,5,+5,2003,1,1.5,1.5,,,,
,5943,,48,Jakub,Vrana,Jakub Vrana,14-15,HER,LW,,L,true,,18.56,1,+1,2014,3,4.47,1.49,,,,
,2233,,12,Marc-Edouard,Vlasic,Marc-Edouard Vlasic,07-08,WOR,D,,L,false,,20.48,3,+3,2005,1,1.48,1.48,,,,
,3927,,51,Ben,Street,Ben Street,15-16,SA,C,,L,false,,28.61,11,+11,2005,15,22.05,1.47,,,,
,34,,30,Alexandre,Giroux,Alexandre Giroux,09-10,HER,LW,,L,false,,28.27,11,+11,1999,69,100.88,1.46,,,,
,2860,,16,Daniel,Briere,Daniel Briere,08-09,PHI,C,,R,false,,30.96,13,+13,1996,3,4.38,1.46,,,,
,7149,,73,Noah,Gregor,Noah Gregor,21-22,SJ,C,,L,false,,23.15,6,+6,2016,8,11.62,1.45,,,,
,1350,,37,Joey,Crabb,Joey Crabb,11-12,TOR,RW,,R,false,,28.47,11,+11,2001,9,13.05,1.45,,,,
,243,,12,Ryan,Craig,Ryan Craig,07-08,NOR,C,,L,false,,25.71,8,+8,2000,2,2.9,1.45,,,,
,3099,,40,Jordan,Eberle,Jordan Eberle,12-13,OKC,RW,,R,false,,22.35,5,+5,2008,34,49.27,1.45,,,,
,34,,16,Alexandre,Giroux,Alexandre Giroux,08-09,HER,LW,,L,false,,27.27,10,+10,1999,69,99.73,1.45,,,,
,926,,30,Mike,Zigomanis,Mike Zigomanis,09-10,TOR,C,,R,false,,28.68,11,+11,1999,7,10.1,1.44,,,,
,6268,,57,Mark,Jankowski,Mark Jankowski,17-18,STK,C,,L,false,,23.02,6,+6,2012,6,8.64,1.44,,,,
,1498,,16,Troy,Brouwer,Troy Brouwer,08-09,RFD,RW,,R,false,,23.1,6,+6,2003,5,7.14,1.43,,,,
,4949,,48,Cédric,Paquette,Cédric Paquette,14-15,SYR,C,,L,false,,21.1,4,+4,2011,5,7.13,1.43,,,,
,89,,34,Keith,Aucoin,Keith Aucoin,10-11,HER,C,,R,false,,31.88,14,+14,1997,15,21.34,1.42,,,,
,7242,,68,Tanner,Jeannot,Tanner Jeannot,20-21,CHI,LW,,L,false,,23.32,6,+6,2015,13,18.36,1.41,,,,
,3777,,61,Brandon,Pirri,Brandon Pirri,18-19,CHI,C,,L,false,,27.45,10,+10,2009,29,40.91,1.41,,,,
,8448,,77,Tanner,Laczynski,Tanner Laczynski,22-23,LV,F,,R,,,25.31,8,+8,2015,2,2.82,1.41,,,,
,3777,,68,Brandon,Pirri,Brandon Pirri,20-21,RFD,LW,,L,false,,29.45,12,+12,2009,7,9.81,1.4,,,,
,7142,,57,Jordan,Gross,Jordan Gross,17-18,TUC,D,,R,true,,22.37,5,+5,2013,1,1.4,1.4,,,,
,954,,37,Krys,Kolanos,Krys Kolanos,11-12,ABB,LW,,R,false,,30.16,13,+13,1999,47,64.99,1.38,,,,
,6571,,57,Kyle,Connor,Kyle Connor,17-18,MB,LW,,L,false,,20.78,3,+3,2015,4,5.53,1.38,,,,
,6751,,77,Zack,MacEwen,Zack MacEwen,22-23,LV,RW,,R,,,26.21,9,+9,2014,2,2.76,1.38,,,,
,6788,,57,Carl,Grundstrom,Carl Grundstrom,17-18,TOR,LW,,L,true,,19.8,2,+2,2016,2,2.76,1.38,,,,
,3519,,34,Josh,Bailey,Josh Bailey,10-11,BRI,C,,L,false,,20.97,3,+3,2008,11,15.13,1.38,,,,
,4827,,40,Craig,Smith,Craig Smith,12-13,MIL,C,,R,false,,23.04,6,+6,2007,4,5.5,1.38,,,,
,6051,,54,Derek,Ryan,Derek Ryan,16-17,CHA,C,,R,false,,29.73,12,+12,2005,9,12.36,1.37,,,,
,8950,,77,Emil,Bemstrom,Emil Bemstrom,22-23,CLE,RW,,R,,,23.31,6,+6,2017,21,28.83,1.37,,,,
,156,,30,Chris,Bourque,Chris Bourque,09-10,HER,LW,,L,false,,23.64,6,+6,2004,49,66.68,1.36,,,,
,9094,,77,Emil,Heineman,Emil Heineman,22-23,LAV,LW,,L,false,,20.9,3,+3,2020,6,8.14,1.36,,,,
,1895,,34,Andrew,Gordon,Andrew Gordon,10-11,HER,RW,,R,false,,24.77,7,+7,2004,26,35.13,1.35,,,,
,7345,,68,Alex,Barré-Boulet,Alex Barré-Boulet,20-21,SYR,C,,L,false,,23.34,6,+6,2015,10,13.48,1.35,,,,
,557,,30,Marc-Antoine,Pouliot,Marc-Antoine Pouliot,09-10,SPR,C,,R,false,,24.33,7,+7,2003,4,5.38,1.35,,,,
,7035,,73,Kiefer,Sherwood,Kiefer Sherwood,21-22,COL,RW,,R,false,,26.48,9,+9,2013,57,76.59,1.34,,,,
,5918,,65,Travis,Boyd,Travis Boyd,19-20,HER,C,,R,false,,26.02,9,+9,2011,4,5.37,1.34,,,,
,4502,,37,Daniel,New,Daniel New,11-12,SPR,D,,L,false,,22.57,5,+5,2007,2,2.68,1.34,,,,
,5032,,43,Michael,Raffl,Michael Raffl,13-14,ADK,F,,L,true,,24.81,7,+7,2007,2,2.68,1.34,,,,
,6673,,68,Philippe,Maillet,Philippe Maillet,20-21,HER,C,,L,false,,27.87,10,+10,2011,16,21.41,1.34,,,,
,89,,37,Keith,Aucoin,Keith Aucoin,11-12,HER,C,,R,false,,32.88,15,+15,1997,43,57.29,1.33,,,,
,5499,,68,Kurtis,Gabriel,Kurtis Gabriel,20-21,SJ,F,,R,false,,27.42,10,+10,2011,2,2.66,1.33,,,,
,273,,12,Craig,MacDonald,Craig MacDonald,07-08,NOR,C,,L,false,,30.46,13,+13,1995,7,9.3,1.33,,,,
,5372,,57,Pontus,Åberg,Pontus Åberg,17-18,MIL,RW,,R,false,,23.99,6,+6,2012,4,5.31,1.33,,,,
,3911,,34,Joffrey,Lupul,Joffrey Lupul,10-11,SYR,RW,,R,false,,27.0,9,+9,2002,3,3.98,1.33,,,,
,5671,,61,Daniel,Carr,Daniel Carr,18-19,CHI,LW,,L,false,,26.89,9,+9,2010,52,68.81,1.32,,,,
,2067,,16,T.J.,Hensick,T.J. Hensick,08-09,LE,C,,R,false,,22.78,5,+5,2004,12,15.85,1.32,,,,
,5058,,43,Nikita,Kucherov,Nikita Kucherov,13-14,SYR,RW,,L,true,,20.26,3,+3,2011,17,22.43,1.32,,,,
,4526,,48,Andy,Andreoff,Andy Andreoff,14-15,MCH,LW,,L,false,,23.35,6,+6,2009,7,9.21,1.32,,,,
,2377,,12,Mike,Radja,Mike Radja,07-08,SYR,C,,L,true,,22.54,5,+5,2003,2,2.63,1.32,,,,
,7100,,73,Owen,Tippett,Owen Tippett,21-22,CLT,RW,,R,false,,22.59,5,+5,2017,12,15.77,1.31,,,,
,3727,,43,Mike,Hoffman,Mike Hoffman,13-14,BNG,LW,,L,false,,23.82,6,+6,2008,51,66.85,1.31,,,,
,89,,30,Keith,Aucoin,Keith Aucoin,09-10,HER,C,,R,false,,30.88,13,+13,1997,72,94.01,1.31,,,,
,69,,12,Ryan,Callahan,Ryan Callahan,07-08,HFD,RW,,R,false,,22.5,5,+5,2003,11,14.32,1.3,,,,
,5988,,65,Nick,Paul,Nick Paul,19-20,BEL,LW,,L,false,,24.51,7,+7,2013,3,3.9,1.3,,,,
,8614,,68,Alex,Galchenyuk,Alex Galchenyuk,20-21,TOR,C,,L,false,,26.61,9,+9,2012,6,7.8,1.3,,,,
,7972,,73,Adam,Ruzicka,Adam Ruzicka,21-22,STK,C,,L,false,,22.36,5,+5,2017,16,20.74,1.3,,,,
,8935,,77,Yegor,Chinakhov,Yegor Chinakhov,22-23,CLE,RW,,L,false,,21.63,4,+4,2019,7,8.99,1.28,,,,
,4926,,48,Teemu,Pulkkinen,Teemu Pulkkinen,14-15,GR,RW,,R,false,,22.72,5,+5,2010,46,59.03,1.28,,,,
,4603,,40,Justin,Schultz,Justin Schultz,12-13,OKC,D,,R,true,,22.21,5,+5,2008,34,43.6,1.28,,,,
,9114,,73,Thomas,Bordeleau,Thomas Bordeleau,21-22,SJ,C,,L,true,,19.71,2,+2,2020,2,2.56,1.28,,,,
,7096,,57,Ivan,Chekhovich,Ivan Chekhovich,17-18,SJ,LW,,L,true,,18.71,1,+1,2017,6,7.66,1.28,,,,
,5960,,48,Jason,Dickinson,Jason Dickinson,14-15,TEX,C,,L,true,,19.21,2,+2,2013,2,2.55,1.28,,,,
,5650,,51,Viktor,Arvidsson,Viktor Arvidsson,15-16,MIL,RW,,R,false,,22.45,5,+5,2011,17,21.66,1.27,,,,
,5540,,73,T.J.,Tynan,T.J. Tynan,21-22,ONT,C,,R,false,,29.58,12,+12,2010,62,78.76,1.27,,,,
,1347,,12,Jason,Krog,Jason Krog,07-08,CHI,C,,R,false,,31.96,14,+14,1994,80,101.5,1.27,,,,
,8694,,68,Matt,Boldy,Matt Boldy,20-21,IA,LW,,L,true,,19.46,2,+2,2019,14,17.72,1.27,,,,
,2295,,12,Mark,Derlago,Mark Derlago,07-08,MTB,LW,,L,true,,21.67,4,+4,2004,4,5.03,1.26,,,,
,5868,,57,Joakim,Ryan,Joakim Ryan,17-18,SJ,D,,L,false,,24.26,7,+7,2011,2,2.51,1.26,,,,
,4060,,43,Gustav,Nyquist,Gustav Nyquist,13-14,GR,RW,,L,false,,24.05,7,+7,2007,15,18.8,1.25,,,,
,6581,,54,Pavel,Buchnevich,Pavel Buchnevich,16-17,HFD,RW,,L,true,,21.43,4,+4,2013,4,5.01,1.25,,,,
,4134,,43,Tyler,Toffoli,Tyler Toffoli,13-14,MCH,RW,,R,false,,21.41,4,+4,2010,18,22.48,1.25,,,,
,627,,12,Jeff,Tambellini,Jeff Tambellini,07-08,BRI,LW,,L,false,,23.44,6,+6,2002,57,71.18,1.25,,,,
,5555,,57,Shea,Theodore,Shea Theodore,17-18,CHI,D,,L,false,,22.13,5,+5,2013,8,9.98,1.25,,,,
,2558,,16,Brian,Willsie,Brian Willsie,08-09,LE,RW,,R,false,,30.52,13,+13,1996,12,14.96,1.25,,,,
,6228,,54,Jake,Guentzel,Jake Guentzel,16-17,WBS,C,,R,true,,21.96,4,+4,2013,33,41.14,1.25,,,,
,4552,,65,Reid,Boucher,Reid Boucher,19-20,UTI,LW,,L,false,,26.04,9,+9,2011,53,66.06,1.25,,,,
,7927,,68,Rem,Pitlick,Rem Pitlick,20-21,CHI,C,,L,false,,23.47,6,+6,2015,8,9.96,1.25,,,,
,156,,37,Chris,Bourque,Chris Bourque,11-12,HER,LW,,L,false,,25.64,8,+8,2004,73,90.4,1.24,,,,
,4010,,51,Derek,Grant,Derek Grant,15-16,STK,C,,L,false,,25.42,8,+8,2008,36,44.52,1.24,,,,
,6212,,73,Andrew,Poturalski,Andrew Poturalski,21-22,CHI,C,,R,false,,27.69,10,+10,2012,71,87.74,1.24,,,,
,8619,,68,Jack,Rathbone,Jack Rathbone,20-21,UTI,D,,L,true,,21.34,4,+4,2017,8,9.86,1.23,,,,
,6501,,77,Michael,Carcone,Michael Carcone,22-23,TUC,F,,L,false,,26.34,9,+9,2014,60,73.91,1.23,,,,
,3262,,43,Colton,Sceviour,Colton Sceviour,13-14,TEX,RW,,R,false,,24.42,7,+7,2007,54,66.49,1.23,,,,
,414,,12,Loui,Eriksson,Loui Eriksson,07-08,IOW,LW,,L,false,,22.18,5,+5,2003,2,2.46,1.23,,,,
,7129,,57,Taylor,Richart,Taylor Richart,17-18,SA,D,,R,true,,25.6,8,+8,2010,2,2.46,1.23,,,,
,8709,,68,Jack,Thompson,Jack Thompson,20-21,SYR,D,,R,true,,18.51,1,+1,2020,1,1.23,1.23,,,,
,1213,,16,Bobby,Ryan,Bobby Ryan,08-09,IOW,RW,,R,false,,21.52,4,+4,2005,14,17.21,1.23,,,,
,8558,,73,Jack,Quinn,Jack Quinn,21-22,ROC,RW,,R,true,,20.0,2,+2,2020,45,54.96,1.22,,,,
,2121,,43,Travis,Morin,Travis Morin,13-14,TEX,C,,L,false,,29.7,12,+12,2002,66,80.52,1.22,,,,
,4948,,73,Stefan,Noesen,Stefan Noesen,21-22,CHI,RW,,R,false,,28.61,11,+11,2011,70,85.37,1.22,,,,
,64,,30,Pierre-Alexandre,Parenteau,Pierre-Alexandre Parenteau,09-10,HFD,RW,,R,false,,26.5,9,+9,2001,35,42.66,1.22,,,,
,4701,,40,Taylor,Hall,Taylor Hall,12-13,OKC,LW,,L,false,,20.85,3,+3,2010,26,31.68,1.22,,,,
,1795,,30,David,Desharnais,David Desharnais,09-10,HAM,C,,L,false,,23.02,6,+6,2004,60,73.05,1.22,,,,
,2420,,34,Mathieu,Perreault,Mathieu Perreault,10-11,HER,C,,L,false,,22.71,5,+5,2006,18,21.9,1.22,,,,
,4857,,43,Ryan,Strome,Ryan Strome,13-14,BRI,C,,R,true,,20.19,3,+3,2011,37,44.98,1.22,,,,
,2720,,16,Jon,Sim,Jon Sim,08-09,BRI,LW,,L,false,,30.98,13,+13,1996,18,21.86,1.21,,,,
,5018,,73,Martin,Frk,Martin Frk,21-22,ONT,RW,,R,false,,27.96,10,+10,2012,58,69.99,1.21,,,,
,7285,,73,Sheldon,Rempal,Sheldon Rempal,21-22,ABB,RW,,R,false,,26.13,9,+9,2013,55,66.29,1.21,,,,
,6616,,65,Gerry,Mayhew,Gerry Mayhew,19-20,IA,LW,,R,false,,26.72,9,+9,2011,49,58.93,1.2,,,,
,89,,16,Keith,Aucoin,Keith Aucoin,08-09,HER,C,,R,false,,29.88,12,+12,1997,70,84.05,1.2,,,,
,5917,,57,Erik,Bradford,Erik Bradford,17-18,TOR,F,,L,true,,22.92,5,+5,2013,1,1.2,1.2,,,,
,8387,,68,Trevor,Zegras,Trevor Zegras,20-21,SD,C,,L,true,,19.5,2,+2,2019,17,20.4,1.2,,,,
,954,,16,Krys,Kolanos,Krys Kolanos,08-09,HOU,LW,,R,false,,27.16,10,+10,1999,45,53.99,1.2,,,,
,627,,34,Jeff,Tambellini,Jeff Tambellini,10-11,MTB,LW,,L,false,,26.44,9,+9,2002,7,8.39,1.2,,,,
,2720,,34,Jon,Sim,Jon Sim,10-11,BRI,LW,,L,false,,32.98,15,+15,1996,8,9.58,1.2,,,,
,4421,,54,Anton,Lander,Anton Lander,16-17,BAK,C,,L,false,,25.41,8,+8,2009,42,50.26,1.2,,,,
,6457,,61,Conor,Garland,Conor Garland,18-19,TUC,RW,,R,false,,22.53,5,+5,2014,21,25.1,1.2,,,,
,3225,,43,Paul,Postma,Paul Postma,13-14,STJ,D,,R,false,,24.58,7,+7,2007,4,4.78,1.2,,,,
,2543,,34,Max,Pacioretty,Max Pacioretty,10-11,HAM,LW,,L,false,,21.83,4,+4,2007,27,32.26,1.19,,,,
,7655,,68,Liam,Foudy,Liam Foudy,20-21,CLE,C,,L,true,,20.63,3,+3,2018,12,14.29,1.19,,,,
,5080,,51,Seth,Griffith,Seth Griffith,15-16,PRO,RW,,R,false,,22.71,5,+5,2011,57,67.81,1.19,,,,
,1460,,16,Matt,D'Agostini,Matt D'Agostini,08-09,HAM,RW,,R,false,,21.91,4,+4,2005,20,23.78,1.19,,,,
,3140,,30,Logan,Couture,Logan Couture,09-10,WOR,C,,L,true,,20.48,3,+3,2007,42,49.74,1.18,,,,
,1405,,48,Tyler,Kennedy,Tyler Kennedy,14-15,WOR,RW,,R,false,,28.19,11,+11,2004,3,3.55,1.18,,,,
,7432,,73,Dylan,Sikura,Dylan Sikura,21-22,COL,RW,,L,false,,26.31,9,+9,2013,60,70.91,1.18,,,,
,4214,,61,Phil,Varone,Phil Varone,18-19,LV,C,,L,false,,27.8,10,+10,2009,22,25.97,1.18,,,,
,8440,,68,Seth,Jarvis,Seth Jarvis,20-21,CHI,C,,R,true,,18.63,1,+1,2020,9,10.6,1.18,,,,
,6173,,51,Scott,Gomez,Scott Gomez,15-16,HER,C,,L,false,,35.75,18,+18,1998,18,21.08,1.17,,,,
,5437,,51,Conor,Sheary,Conor Sheary,15-16,WBS,LW,,L,false,,23.28,6,+6,2010,30,35.12,1.17,,,,
,4914,,40,Matt,Lindblad,Matt Lindblad,12-13,PRO,LW,,L,true,,22.5,5,+5,2008,4,4.68,1.17,,,,
,1955,,12,Tony,Salmelainen,Tony Salmelainen,07-08,TOR,LW,,R,false,,26.12,9,+9,1999,2,2.33,1.17,,,,
,3733,,51,Mark,Arcobello,Mark Arcobello,15-16,TOR,C,,R,false,,27.11,10,+10,2006,49,56.94,1.16,,,,
,7457,,61,Jordan,Greenway,Jordan Greenway,18-19,IA,LW,,L,true,,21.59,4,+4,2015,5,5.78,1.16,,,,
,8559,,68,Phil,Tomasino,Phil Tomasino,20-21,CHI,RW,,R,true,,19.15,2,+2,2019,29,33.51,1.16,,,,
,7361,,65,Drake,Batherson,Drake Batherson,19-20,BEL,RW,,R,false,,21.4,4,+4,2016,44,50.83,1.16,,,,
,3107,,30,Drew,Paris,Drew Paris,09-10,TOR,D,,R,true,,21.36,4,+4,2006,2,2.31,1.16,,,,
,4954,,43,Andreas,Athanasiou,Andreas Athanasiou,13-14,GR,LW,,L,true,,19.12,2,+2,2012,2,2.31,1.16,,,,
,5660,,54,Kenny,Agostino,Kenny Agostino,16-17,CHI,LW,,L,false,,24.39,7,+7,2010,65,74.92,1.15,,,,
,6755,,54,Tyler,Moy,Tyler Moy,16-17,MIL,RW,,R,true,,21.18,4,+4,2013,3,3.45,1.15,,,,
,1412,,34,Rob,Schremp,Rob Schremp,10-11,BRI,C,,L,false,,24.22,7,+7,2004,1,1.15,1.15,,,,
,3697,,54,Kevin,Connauton,Kevin Connauton,16-17,TUC,D,,L,false,,26.58,9,+9,2008,2,2.3,1.15,,,,
,4530,,43,Brock,Nelson,Brock Nelson,13-14,BRI,LW,,L,false,,21.93,4,+4,2010,1,1.15,1.15,,,,
,4892,,40,Jason,Beattie,Jason Beattie,12-13,RCH,D,,R,true,,24.02,7,+7,2006,1,1.15,1.15,,,,
,5863,,48,Christian,Djoos,Christian Djoos,14-15,HER,D,,L,true,,20.12,3,+3,2012,1,1.15,1.15,,,,
,3774,,34,Johan,Harju,Johan Harju,10-11,NOR,LW,,L,false,,24.35,7,+7,2004,21,24.1,1.15,,,,
,554,,34,Corey,Locke,Corey Locke,10-11,BNG,C,,L,false,,26.37,9,+9,2002,31,35.57,1.15,,,,
,5698,,73,Rocco,Grimaldi,Rocco Grimaldi,21-22,MIL,RW,,R,false,,28.62,11,+11,2011,44,50.47,1.15,,,,
,4975,,61,Corban,Knight,Corban Knight,18-19,LV,C,,R,false,,28.03,11,+11,2008,8,9.17,1.15,,,,
,6623,,61,Tage,Thompson,Tage Thompson,18-19,ROC,RW,,R,true,,20.89,3,+3,2016,8,9.16,1.15,,,,
,4082,,40,Cam,Atkinson,Cam Atkinson,12-13,SPR,RW,,R,false,,23.3,6,+6,2007,33,37.76,1.14,,,,
,2847,,16,Cory,Murphy,Cory Murphy,08-09,RCH,D,,R,false,,30.61,13,+13,1996,5,5.72,1.14,,,,
,3756,,37,Kyle,Palmieri,Kyle Palmieri,11-12,SYR,RW,,R,false,,20.63,3,+3,2009,51,58.29,1.14,,,,
,2041,,34,Jerome,Samson,Jerome Samson,10-11,CHA,RW,,R,false,,23.05,6,+6,2005,32,36.56,1.14,,,,
,7454,,65,Troy,Terry,Troy Terry,19-20,SD,RW,,R,false,,22.03,5,+5,2015,14,15.98,1.14,,,,
,253,,37,Adam,Pardy,Adam Pardy,11-12,TEX,D,,L,false,,27.48,10,+10,2002,2,2.28,1.14,,,,
,6729,,77,Matthew,Phillips,Matthew Phillips,22-23,CGY,RW,,R,false,,24.46,7,+7,2016,60,68.38,1.14,,,,
,7528,,68,Tommy,Novak,Tommy Novak,20-21,CHI,C,,L,false,,23.4,6,+6,2015,27,30.7,1.14,,,,
,6908,,65,Filip,Chytil,Filip Chytil,19-20,HFD,C,,L,false,,20.04,3,+3,2017,9,10.22,1.14,,,,
,1595,,40,Rostislav,Olesz,Rostislav Olesz,12-13,RFD,LW,,L,false,,26.95,9,+9,2004,14,15.86,1.13,,,,
